Age,Foram bent (corrected),Foram bent (corrected)
4832.947368,0.93,2.75
4836.105263,0.76,2.74
4839.263158,0.81,2.91
4842.421053,0.74,2.96
4864.823529,1.27,2.82
4868.352941,0.98,2.82
4878.941176,0.99,3
4904.666667,0.84,2.98
4913,1.07,3.05
4917.166667,1.02,2.97
4921.333333,0.97,3.12
4924.753846,0.97,2.85
4936.446154,0.65,2.95
4942.738462,0.85,2.8
4946.430769,0.99,2.69
4946.430769,0.35,2.84
4950.123077,0.92,2.74
4950.123077,0.79,2.32
4953.815385,1.01,2.41
4957.507692,0.5,2.6
4957.507692,0.6,2.54
4961.2,1.05,2.86
4964.892308,0.96,2.35
4968.77686,0.9,2.45
4972.743802,0.86,2.76
4976.710744,0.88,2.88
4980.677686,0.89,2.29
4984.247934,0.84,2.57
4988.214876,1,2.76
4992.578512,0.95,2.73
4996.545455,0.83,2.65
5000.115702,0.31,2.4
5004.082645,0.9,2.35
5008.049587,0.86,2.89
5012.016529,0.68,2.9
5016.444444,0.82,3.12
5021.333333,1.1,2.81
5026.222222,0.96,2.94
5031.111111,1.07,2.8
5036,0.95,2.7
5042,0.81,2.79
5045,0.79,2.59
5048,0.78,2.79
5051,0.75,2.8
5054,0.22,2.86
5057,0.74,2.99
5062.609756,0.78,2.98
5068.219512,0.78,2.82
5068.780488,0.95,2.88
5073.829268,0.71,2.65
5073.829268,1.13,2.86
5074.390244,0.71,2.74
5080,1.13,2.71
5085.111111,0.77,2.68
5090.222222,0.96,2.93
5095.333333,0.78,3.11
5100.444444,0.92,3.15
5105.368421,1.03,3.29
5110.105263,0.98,3.3
5114.842105,0.82,2.52
5119.578947,1.16,3.09
5124.315789,0.89,2.84
5129.052632,0.86,2.85
5129.052632,0.93,3.04
5133.333333,0.74,3.17
5137.5,0.84,2.71
5141.666667,1,2.92
5145.833333,0.97,2.72
5150,1.06,3.19
5153.666667,0.24,2.72
5157.333333,0.58,2.84
5157.333333,0.85,2.58
5161,0.84,2.56
5164.666667,0.84,2.7
5168.333333,0.63,2.98
5172,0.92,2.81
5175.555556,0.65,3.09
5176.444444,0.97,2.84
5180,1.14,2.62
5180.888889,0.92,2.66
5180.888889,0.96,2.71
5184.444444,0.8,2.57
5184.444444,1.06,2.48
5188.888889,1.06,2.59
5193.5,1.22,2.63
5198.5,1.05,2.77
5203.5,0.9,2.5
5208.5,1.05,2.49
5213.5,0.84,2.43
5218.5,0.98,2.95
5223.3,0.83,2.91
5227.633333,0.98,2.57
5231.966667,0.79,2.79
5236.3,1,2.53
5240.633333,1.09,2.62
5244.966667,1.22,2.65
5249.275,1.06,2.47
5253.525,0.91,2.7
5257.775,0.84,2.68
5262.025,1.1,2.51
5262.025,0.88,2.59
5266.2,1.07,2.61
5270.2,1.05,2.73
5274.2,1.31,2.44
5274.2,1.13,2.49
5278.2,1.24,2.68
5281.8,1.03,2.4
5281.8,1.18,2.77
5286.275,1.02,2.74
5290.525,0.97,2.43
5294.775,1.31,2.79
5294.775,1.14,2.64
5299.025,1.18,3
5299.025,1.22,2.93
5303.5,1.02,2.88
5308.5,1.3,2.7
5313.5,1.17,2.94
5318.5,1.05,2.56
5323.26,0.89,2.73
5323.26,0.9,2.42
5327.46,1.06,2.76
5331.66,0.89,2.58
5335.86,1.11,2.78
5340.06,1.12,2.86
5344.5,1.24,2.79
5349.5,1.3,2.55
5349.5,0.94,2.45
5354.5,1.22,2.76
5359.5,1.17,2.75
5364.5,1.25,2.62
5369.5,1.23,2.61
5374.5,1.19,2.92
5379.5,1.22,3.08
5384.5,1.16,2.91
5389.5,1.3,2.87
5394.326923,0.98,2.6
5394.326923,1.55,2.64
5398.75,0.89,2.44
5403.173077,0.89,2.47
5407.596154,0.89,2.36
5412.019231,0.85,2.48
5415.557692,0.61,2.62
5420,1.43,0.42
5420.888889,0.93,2.95
5433.333333,0.7,2.79
5437.803922,0.9,2.81
5442.313725,0.95,2.74
5446.823529,0.82,2.6
5451.333333,0.95,2.71
5455.843137,1.02,2.67
5460.833333,0.88,2.71
5466.944444,0.79,2.54
5473.055556,1.2,2.8
5479.166667,1.42,2.93
5484.315789,1.3,2.87
5489.052632,1.32,2.86
5493.789474,1.29,2.76
5498.526316,1.17,2.7
5503.263158,1.15,2.72
5508,1.16,3.06
5514.111111,1.2,2.88
5520.222222,1.11,2.99
5526.333333,1.02,2.73
5531.777778,1.05,2.69
5536.222222,0.94,2.71
5540.666667,0.71,2.76
5545.111111,1.28,3.13
5549.555556,0.55,3.39
5554.4,1.14,2.95
5559.288889,1.01,2.76
5564.177778,1.11,2.74
5573.511111,1.18,2.93
5577.288889,1.02,3.1
5581.066667,0.83,2.87
5584.844444,1.02,3
5588.622222,1.19,3.08
5592.230769,1.3,2.97
5599.410256,0.97,2.25
5603,1.28,2.34
5608.238095,1.03,2.7
5613.47619,1.21,2.73
5618.714286,1.07,2.93
5623.952381,1.09,2.76
5628.692308,1,2.95
5633.307692,0.9,2.54
5642.538462,1.17,3.14
5648,1.25,2.45
5653.555556,1.29,2.64
5659.111111,1,2.7
5664.416667,1.1,2.61
5669.138889,1.24,2.68
5678.583333,1.04,2.88
5683.422222,1.13,2.84
5693.2,0.82,2.54
5698.088889,0.61,2.67
5702.863636,1.13,3.08
5707.181818,1.01,2.74
5711.5,1.15,2.63
5712.795455,0.43,2.67
5715.818182,1.15,2.68
5717.113636,1.06,2.63
5721.547619,1.37,3.04
5727.02381,0.94,2.74
5737.97619,0.93,2.66
5743.452381,0.81,2.79
5751.916667,0.89,3.21
5756.261905,0.74,3.22
5760.785714,1.29,3.02
5765.309524,1.03,2.82
5769.833333,1.22,2.94
5773.984375,1.21,2.5
5777.265625,1.17,2.74
5780.546875,0.45,2.43
5783.828125,0.56,2.64
5783.828125,0.4,3.2
5787.109375,0.9,2.86
5787.109375,0.99,3.36
5787.109375,0.9,2.53
5787.109375,1.05,3.48
5787.109375,1.05,3.48
5787.109375,0.81,2.93
5790.390625,0.69,3.47
5793.671875,0.69,2.98
5793.671875,0.99,2.89
