Depth [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB] (equilibrium)
89.93,5498.12528,0.096,3.056
90.01,5500.82774,0.064,3.318
90.15,5505.557047,-0.132,3.055
90.23,5508.259508,-0.072,2.999
90.33,5511.637584,-0.019,3.132
90.41,5514.340045,0.012,3.298
90.53,5518.393736,-0.054,2.914
90.63,5521.771812,0.095,3.262
90.73,5525.149888,0.124,3.103
90.83,5528.527964,0.114,3.222
90.93,5531.90604,-0.178,3.341
91.03,5535.284116,-0.046,3.096
91.13,5538.662192,-0.236,3.036
91.23,5541.561538,-0.315,3.528
91.33,5544.407692,-0.306,3.549
91.43,5547.253846,-0.361,3.462
91.51,5549.530769,-0.532,3.669
91.64,5553.230769,-0.182,3.368
91.73,5555.792308,0.086,3.225
91.83,5558.638462,-0.093,3.099
91.91,5560.915385,0.131,3.23
92.03,5564.330769,0.044,3.089
92.13,5567.176923,0.044,3.131
92.23,5570.023077,0.061,3.248
92.33,5572.869231,-0.06,3.351
92.43,5575.715385,-0.133,3.159
92.53,5578.561538,-0.051,3.361
92.63,5581.407692,-0.164,3.142
92.73,5584.253846,-0.401,3.318
92.83,5587.1,-0.193,3.351
92.93,5589.946154,-0.272,3.37
93.02,5592.507692,-0.315,3.537
93.15,5596.207692,-0.151,3.423
93.23,5598.484615,-0.215,3.419
93.33,5601.330769,-0.21,3.367
93.53,5607.023077,0.08,3.246
93.63,5609.869231,0.037,3.139
93.73,5612.715385,-0.012,3.114
93.83,5615.504717,0.006,3.179
93.93,5618.287736,-0.018,3.134
94.03,5621.070755,-0.045,3.261
94.13,5623.853774,0.04,3.085
94.23,5626.636792,0.007,3.057
94.33,5629.419811,0.075,3.289
94.43,5632.20283,0.005,3.134
94.51,5634.429245,-0.118,3.217
94.64,5638.04717,-0.143,3.117
94.73,5640.551887,-0.029,3.243
94.82,5643.056604,0,3.207
94.9,5645.283019,-0.082,3.227
95.03,5648.900943,-0.025,3.23
95.13,5651.683962,-0.023,3.213
95.23,5654.466981,-0.104,3.203
95.33,5657.25,0.008,3.184
95.41,5659.476415,0.171,3.237
95.51,5662.259434,0.112,3.304
95.63,5665.599057,0.042,3.039
95.73,5668.382075,0.318,3.557
95.83,5671.165094,0.12,2.987
95.93,5673.948113,0.031,3.092
