depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
8.14,946.5,0.32,3.85
8.165,949.1,0.45,3.5
8.19,951.8,0.35,3.35
8.215,954.4,0.38,4.26
8.24,956.8,0.64,4.28
8.265,959.1,0.43,3.92
8.29,961.4,0.65,4.35
8.315,963.7,0.44,4
8.34,966.1,0.42,4.25
8.365,968.4,0.51,4.27
8.39,970.7,0.45,4.12
8.415,973.1,0.32,4.37
8.44,975.4,0.68,4.29
8.465,977.7,0.27,4.39
8.49,980,0.24,4.29
8.515,982.4,0.28,4.44
8.54,984.7,0.69,4.26
8.565,987,0.61,4
8.59,989.3,0.78,4.09
8.615,991.7,0.64,4.44
8.64,994,0.43,4.28
8.665,996.3,0.47,4.01
8.69,998.6,0.37,4.48
8.715,1001,0.29,4.53
8.74,1003.3,0.72,4.25
8.765,1005.6,0.3,4.1
8.79,1008,0.86,4.21
8.815,1010.3,-0.01,4.5
8.84,1012.6,0.51,4.4
8.865,1014.9,0.8,4.3
8.89,1017.3,0.93,3.79
8.915,1019.6,0.83,4.04
8.94,1021.9,0.92,4.03
8.965,1024.2,0.72,4.21
8.99,1026.6,0.62,3.74
9.015,1028.9,0.53,4.25
9.04,1032,0.66,4.56
9.065,1034.4,0.23,4.7
9.09,1036.9,0.38,4.75
9.115,1039.3,0.3,4.65
9.14,1041.8,0.16,4.62
9.165,1044.2,0.15,4.69
9.19,1046.7,0.01,4.59
9.215,1049.1,0.01,4.76
9.24,1051.5,0.25,4.63
9.265,1054,0.56,3.95
9.29,1056.4,0.85,4.06
9.315,1058.9,0.36,3.96
9.34,1061.3,0.51,4.22
9.365,1063.7,0.67,4.12
9.39,1066.2,0.99,3.7
9.415,1068.6,0.37,3
9.44,1070.5,0.89,3.48
9.465,1072.3,0.8,3.91
9.49,1074.2,0.99,3.72
9.515,1076,1.01,3.8
9.54,1077.9,1,3.81
9.565,1079.7,0.83,4.21
9.59,1081.6,1.04,3.83
9.615,1083.4,0.67,4.38
9.64,1085.3,0.7,4.26
9.665,1087.1,0.97,3.93
9.69,1089,0.6,4.23
9.715,1090.8,0.89,3.94
9.74,1092.7,0.78,4.25
9.765,1094.5,0.68,4.3
9.79,1096.4,0.1,4.43
9.815,1098.3,0.36,4.46
9.84,1100.1,0.3,4.59
9.865,1102,0.47,4.55
9.915,1105.7,0.72,4.25
9.94,1107.5,0.85,4.03
9.965,1109.4,0.68,4.36
9.99,1111.2,0.68,4.34
10.015,1113.1,0.32,4.76
10.04,1114.9,0.74,4.46
10.065,1116.8,0.44,4.55
10.09,1118.6,0.12,4.61
10.115,1120.4,0.94,4.01
10.14,1122.2,0.42,4.5
10.165,1124,0.42,4.66
10.19,1126.3,0.85,3.87
10.215,1128.7,0.57,4.58
10.24,1131,0.75,4.45
10.265,1133.4,0.69,4.21
10.29,1135.7,0.92,4.16
10.315,1138.1,0.8,4.08
10.34,1140.4,1.03,3.81
10.365,1142.8,1.03,3.98
10.39,1145.1,1.05,3.98
10.415,1147.4,0.9,3.98
10.44,1149.8,1.06,3.95
10.465,1152.1,1.12,3.96
10.49,1154.5,0.98,3.83
10.515,1156.8,0.85,3.92
10.54,1159.2,1.04,3.91
10.565,1161.5,1.03,4.02
10.59,1163.9,1.17,4.14
10.615,1166.2,0.84,3.95
10.64,1168.6,0.98,4.06
10.665,1170.9,1.06,4.1
10.69,1173.2,1,4.17
10.715,1175.6,0.74,4.41
10.74,1177.9,0.91,4.14
10.765,1180.3,0.89,4.36
10.79,1182.6,0.77,4.08
10.815,1185,0.27,4.32
10.84,1187.3,0.65,4.08
10.865,1189.7,0.21,4.43
10.89,1192,0.41,4.8
10.915,1193.8,0.43,4.65
10.94,1195.7,0.45,4.94
10.965,1197.5,0.07,4.99
10.99,1199.4,0.34,4.89
