Depth ref [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB]
215.545,18743.6,0.73,1.64
215.57,18747.3,0.98,1.45
215.595,18750.9,0.81,1.57
215.62,18754.6,1.09,2.12
215.645,18758.2,0.62,1.74
215.67,18761.9,1.04,1.96
215.695,18765.5,0.86,1.71
215.72,18769.2,1.28,1.84
215.745,18772.8,0.96,1.78
215.77,18776.6,0.91,1.69
215.795,18780.4,1.32,1.86
215.82,18784.3,0.97,1.69
215.845,18788.2,1.12,1.9
215.87,18792.1,1.01,1.45
215.895,18796,0.56,1.57
215.945,18803.7,1.02,1.82
215.97,18807.6,0.92,1.71
216.02,18815.4,0.93,1.85
216.045,18819.3,0.88,1.58
216.07,18823.1,1.28,2
216.095,18827,0.99,1.73
216.12,18830.9,0.87,1.87
216.145,18834.8,1.03,1.9
216.17,18838.7,0.92,1.85
216.195,18842.5,1.06,1.62
216.22,18846.4,0.88,1.94
216.245,18850.3,0.99,2.04
216.27,18854.2,0.91,1.75
216.32,18861.9,0.86,1.63
216.345,18865.8,0.75,1.49
216.37,18869.7,0.78,1.6
216.395,18873.6,1.02,1.96
216.42,18877.5,0.96,1.72
216.445,18881.4,0.86,1.69
216.47,18885.2,0.84,1.66
216.495,18889.1,0.9,1.9
216.52,18893,1.06,1.87
216.53,18894.4,1.11,1.8
216.545,18896.5,0.88,1.82
216.55,18897.2,1.09,2
216.57,18900,1.05,1.79
216.57,18900,1,1.98
216.59,18902.8,1.04,1.59
216.61,18905.6,1.11,1.59
216.63,18908.3,1.16,1.74
216.65,18911.1,1.06,1.67
216.67,18913.9,1.27,1.55
216.69,18916.7,1.25,1.81
216.71,18919.5,1.18,1.66
216.73,18922.3,1.2,1.49
216.75,18925.1,0.98,1.8
216.77,18927.9,1.27,1.59
216.79,18930.7,1.3,1.58
216.81,18933.4,1.07,1.81
216.83,18936.2,1.22,1.77
216.85,18939,1.33,1.67
216.87,18941.8,1.36,1.67
216.89,18944.6,1.39,1.74
216.91,18947.4,1.16,1.68
216.93,18950.2,1.31,1.62
216.95,18953,1.2,1.65
216.97,18955.8,1.41,1.68
216.99,18958.5,1.48,1.66
217.01,18961.3,1.29,1.76
217.03,18964.1,1.34,1.63
