Depth c top [mcd],Age [ka BP],Foram bent d13C [per mil PDB],Foram bent d18O [per mil PDB]
362.02,16129,1.263,1.426
362.12,16135,1.388,1.506
362.34,16147,1.213,1.38
362.42,16152,1.305,1.281
362.54,16159,1.251,1.265
362.63,16164,1.204,1.181
362.77,16172,1.294,0.889
362.85,16176,1.484,1.106
362.91,16179,1.403,0.988
363.03,16186,1.166,1.456
363.13,16192,1.089,1.276
363.19,16195,1.195,1.341
363.33,16203,1.109,1.305
363.43,16208,1.25,1.22
363.53,16214,1.112,1.236
363.63,16220,1.075,1.166
363.73,16225,1.231,1.208
363.83,16231,1.325,1.284
363.93,16236,1.325,1.313
364.03,16242,1.241,1.1
364.13,16248,1.252,1.221
364.23,16253,1.226,1.148
364.33,16259,1.094,1.204
364.43,16265,1.114,1.379
364.53,16270,1.201,1.661
364.63,16276,1.227,1.32
364.73,16281,1.322,1.462
364.83,16287,1.335,1.396
364.93,16293,1.135,1.369
365.03,16298,1.301,1.28
365.13,16304,1.211,1.552
365.23,16310,1.144,1.313
365.33,16315,0.98,1.543
365.43,16321,0.999,1.358
365.53,16326,1.033,1.43
365.63,16332,0.999,1.39
365.73,16338,0.857,1.064
365.76,16339,0.981,0.904
365.83,16344,1.105,1.064
365.92,16351,1.209,1.082
366.03,16359,1.009,0.998
366.12,16366,0.921,0.865
366.23,16374,1.147,1.402
366.33,16381,1.212,1.499
366.44,16390,1.011,1.196
366.53,16396,1.054,1.124
366.63,16404,1.031,1.261
366.74,16412,1.191,1.005
366.84,16419,1.012,1.171
366.94,16427,1.002,1.26
367.04,16434,1.014,1.166
367.14,16442,1.133,1.074
367.24,16449,0.845,0.786
367.33,16456,0.755,0.655
367.42,16461,1.278,0.985
367.55,16469,1.218,1.225
367.65,16474,0.968,1.126
367.74,16480,1.022,1.19
367.85,16486,1.121,1.295
367.95,16492,1.152,1.223
368.05,16498,1.208,1.119
368.13,16502,1.103,1.047
368.24,16509,1.07,1.029
368.33,16514,1.011,0.996
368.41,16518,1.225,1.183
368.54,16526,1.155,1.214
368.63,16531,1.306,1.283
368.73,16537,1.252,0.911
368.84,16543,1.3,1.042
368.93,16548,1.144,1.041
369.06,16556,0.976,0.974
369.16,16562,1.012,1.302
369.24,16566,1.348,1.412
369.35,16573,1.393,1.446
369.46,16579,1.267,1.041
369.56,16585,1.257,1.101
369.66,16590,1.339,1.228
369.76,16596,1.302,1.08
369.86,16602,1.326,0.991
