age_calkaBP,d13Cc.wuell
2.7055,0.67
2.7079,0.54
2.7102,0.16
2.7126,0.59
2.715,0.52
2.7168,0.47
2.7185,0.44
2.7203,0.35
2.722,0.5
2.7255,0.57
2.7273,0.6
2.729,0.56
2.7308,0.68
2.7325,0.56
2.7357,0.2
2.7378,0.71
2.7395,0.62
2.7413,0.6
2.743,0.53
2.7448,0.79
2.7465,0.4
2.7483,0.5
2.75,0.71
2.7518,0.84
2.7535,0.96
2.7553,0.63
2.757,0.75
2.7588,0.53
2.7605,0.56
2.7623,0.25
2.764,0.85
2.7658,0.64
2.7675,0.83
2.7693,0.76
2.771,0.88
2.7728,0.62
2.7745,0.35
2.7763,0.89
2.778,0.7
2.7798,0.76
2.7815,0.87
2.7833,0.74
2.785,0.52
2.7868,0.25
2.7885,0.78
2.7903,0.88
2.792,0.74
2.7938,0.84
2.7955,0.6
2.7973,0.75
2.799,0.69
2.8008,0.92
2.8025,0.4
2.8043,1.05
2.8073,0.26
2.8113,0.35
2.8153,0.64
2.8193,0.56
2.8233,0.67
2.8273,0.9
2.8456,0.61
2.8496,0.61
2.8536,0.56
2.8576,0.34
2.8616,0.8
2.8656,0.66
2.8696,0.58
2.8736,0.78
2.8776,0.66
2.8816,0.72
2.8896,0.75
2.8936,0.67
2.8976,0.71
2.9016,0.85
2.9056,0.74
2.9095,0.57
2.9135,0.25
2.9175,0.6
2.9215,0.74
2.9255,0.52
2.9295,0.7
2.9335,0.17
2.9375,0.48
2.9407,0.31
2.944,0.74
2.9472,0.51
2.9511,0.67
2.9556,0.28
2.9588,0.72
2.9653,0.5
2.9717,0.24
2.9749,0.79
2.9811,0.64
2.986,0.49
2.9892,0.67
2.9909,0.57
2.9925,0.62
2.9941,-0.06
2.9958,0.7
2.9974,0.48
2.999,0.24
3.0007,0.49
3.0023,0.56
3.0072,0.03
3.0088,0.41
3.0104,0.2
3.0121,0.56
3.0137,0.56
3.0153,0.44
3.017,0.6
3.0186,0.71
3.0202,0.27
3.0218,0.58
3.0235,0.55
3.0251,0.62
3.0267,0.56
3.0284,0.48
3.03,0.38
3.0339,0.48
3.0377,0.81
3.0416,0.52
3.0455,0.63
3.0494,0.47
3.0532,-0.07
3.0571,0.76
3.061,0.81
3.0648,0.72
3.0687,0.1
3.0726,0.11
3.0765,0.74
3.0842,0.81
3.0881,0.68
3.0919,0.74
3.0958,0.65
3.0997,0.31
3.1035,0.73
3.1074,0.82
3.1113,0.7
3.1152,0.62
3.119,0.32
3.1229,0.51
3.1268,0.42
3.1306,0.77
3.1345,0.54
3.1384,0.57
3.1423,0.34
3.15,0.64
3.1516,-0.14
3.1531,0.84
3.1547,0.63
3.1563,0.83
3.1594,0.65
3.1609,0.64
3.1625,0.36
3.1672,0.48
3.1688,1.02
3.1703,0.61
3.1719,0.82
3.1734,0.55
3.175,0.75
3.1775,0.87
3.18,0.86
3.1825,1
3.185,0.52
3.1875,0.86
3.19,0.17
3.1925,0.99
3.1975,0.95
3.2,0.85
3.205,0.85
3.21,0.93
3.2125,1.03
3.215,0.89
3.2175,1.06
3.22,1.1
3.2225,0.97
3.225,0.67
3.2275,0.73
3.23,0.83
3.2325,1.02
3.235,0.89
3.2385,0.99
3.2419,0.72
3.2454,0.63
3.2488,0.62
3.2523,0.71
3.2558,0.79
3.2592,0.9
3.2627,0.77
3.2662,0.71
3.2696,0.91
3.2731,0.65
3.2765,0.88
3.28,0.57
3.2822,0.8
3.2844,0.46
3.2866,0.79
3.2888,0.58
3.2909,0.61
3.2931,0.7
3.2953,0.6
3.2975,0.18
3.2997,0.59
3.3019,0.43
3.3036,0.57
3.3053,0.53
3.307,0.29
3.3087,0.65
3.3104,0.58
3.3121,0.81
3.3138,0.39
3.3155,0.85
3.3172,0.65
3.3189,0.86
3.3206,0.69
3.3223,0.76
3.324,0.73
