Age [Ma],_13C [per mil PDB]
20.176,0.67
20.179,0.85
20.183,0.76
20.187,0.85
20.191,0.96
20.196,0.8
20.199,0.66
20.202,0.63
20.206,0.62
20.21,0.75
20.214,0.75
20.217,0.85
20.227,0.56
20.236,0.5
20.245,0.63
20.254,0.86
20.262,0.84
20.269,0.87
20.28,0.77
20.285,0.7
20.29,0.5
20.294,0.6
20.299,0.9
20.31,0.39
20.315,0.9
20.32,0.76
20.325,0.81
20.33,0.59
20.336,0.81
20.339,0.51
20.34,0.48
20.346,0.72
20.35,0.64
20.353,0.57
20.357,0.55
20.361,0.52
20.368,0.46
20.382,0.66
20.391,0.22
20.397,0.2
20.404,0.59
20.41,0.63
20.417,0.74
20.425,0.54
20.433,0.31
20.44,0.5
20.456,0.67
20.465,0.89
20.472,0.67
20.48,0.6
20.487,0.32
20.495,0.87
20.503,0.66
20.511,1.02
20.519,0.23
20.525,0.93
20.532,0.75
20.539,0.86
20.544,0.42
20.551,0.89
20.557,0.86
20.565,0.96
20.57,1.11
20.576,1.1
20.583,1.09
20.589,0.63
20.602,0.13
20.607,0.7
20.612,0.47
20.617,0.41
20.622,0.25
20.627,0.81
20.633,0.9
20.638,0.92
20.648,1.02
20.655,1.1
20.66,1.12
20.667,1.16
20.673,1.01
20.679,0.99
20.692,1.02
20.705,0.74
20.72,0.27
20.73,0.63
20.736,0.76
20.743,0.58
20.749,0.94
20.755,0.66
20.762,0.66
20.768,0.55
20.771,0.79
20.775,0.78
20.783,0.82
20.79,0.69
20.799,0.73
20.805,0.55
20.814,0.31
20.82,0.7
20.827,0.27
20.835,0.87
20.843,0.94
20.851,0.33
20.856,0.6
20.869,0.37
20.881,0.68
20.892,0.25
20.899,0.43
20.905,0.59
20.911,0.88
20.915,0.53
20.921,0.39
20.926,0.58
20.944,0.61
20.949,1.18
20.955,0.93
20.966,0.54
20.988,0.9
21.001,0.38
21.011,0.61
21.019,0.78
21.032,1.23
21.041,0.76
21.05,0.44
21.058,0.86
21.086,0.91
21.106,1.57
21.116,1.06
21.125,0.79
21.135,1.42
21.139,0.68
21.144,0.7
21.149,0.74
21.159,0.98
21.169,0.77
21.173,1.04
21.203,0.48
21.208,1.12
21.213,0.55
21.221,0.53
21.232,0.9
21.237,0.86
21.242,0.91
21.246,0.48
21.357,0.57
21.362,0.16
21.367,0.17
21.373,0.65
21.379,0.63
21.383,0.68
21.389,1.24
21.396,0.65
21.402,0.65
21.408,0.83
21.414,0.93
21.425,1.1
21.43,0.76
21.434,0.96
21.438,0.72
21.446,0.63
21.451,0.54
21.456,0.72
21.464,0.79
21.468,0.61
21.473,0.49
21.482,0.58
21.49,0.13
21.5,0.5
21.517,1.16
21.521,0.75
21.526,0.71
21.53,0.03
21.535,0.98
21.539,0.7
21.554,0.66
21.559,0.5
21.563,0.49
21.568,0.41
21.573,0.63
21.578,0.51
21.582,0.81
21.587,0.19
21.593,0.45
21.598,0.31
21.601,0.63
21.606,0.29
21.609,0.47
21.616,0.7
21.619,0.53
21.623,0.39
21.627,0.47
21.63,0.3
21.635,0.25
21.638,0.51
21.641,0.61
21.645,0.33
21.65,0.79
21.656,0.36
21.661,0.47
21.666,0.61
21.704,0.81
21.709,0.63
21.714,0.65
21.72,0.42
21.725,0.96
21.73,0.6
21.744,0.26
21.748,0.89
21.753,0.32
21.761,0.8
21.765,0.52
21.782,0.77
21.786,0.95
21.79,0.61
21.795,1.35
21.799,1.22
21.803,1.24
21.879,1.42
