AgeD17MT,benthic d13C
6.03954,0.84
6.04183,0.97
6.04411,0.96
6.04639,1.05
6.04867,1.15
6.05095,1.25
6.05324,1.2
6.05552,1.16
6.0578,1.14
6.06008,1.17
6.06236,1.04
6.06464,1.01
6.06693,0.93
6.06921,0.82
6.07149,0.62
6.07172,0.86
6.07377,0.86
6.074,0.88
6.07605,0.74
6.07856,0.97
6.08085,1.08
6.0829,0.87
6.08518,1.11
6.08746,1.12
6.08975,1.19
6.09203,1.02
6.09431,1.12
6.09659,0.91
6.09887,1.03
6.10344,0.76
6.10572,0.88
6.108,0.8
6.10981,0.78
6.11161,0.65
6.11342,0.75
6.11522,0.5
6.11883,0.38
6.12064,0.67
6.12244,0.69
6.12425,0.81
6.12605,1.11
6.12786,1
6.12966,0.88
6.13147,0.97
6.13327,0.95
6.13688,1.11
6.13869,0.98
6.1405,1.02
6.1423,0.95
6.14411,0.91
6.14591,1.12
6.14772,1.02
6.14952,0.94
6.15133,1
6.15313,0.99
6.15494,0.83
6.15674,0.85
6.15855,0.87
6.16035,1.05
6.16216,0.96
6.16396,0.8
6.16577,0.82
6.16757,0.82
6.16938,0.77
6.17119,0.99
6.17299,0.91
6.17498,0.92
6.18039,0.76
6.1822,0.81
6.184,1.09
6.18581,0.96
6.18581,1.08
6.18635,1.07
6.18761,0.99
6.18816,0.98
6.18996,0.87
6.19122,1.07
6.19177,0.81
6.19357,0.87
6.19538,0.95
6.19718,0.77
6.19718,0.82
6.19899,0.65
6.20079,0.48
6.2026,0.59
6.20422,0.56
6.20603,0.79
6.20783,0.93
6.20964,0.81
6.21144,0.82
6.21325,0.67
6.21505,0.83
6.21686,0.89
6.22047,0.82
6.22227,0.82
6.22408,0.85
6.22589,0.73
6.22769,0.75
6.22932,0.63
6.2313,0.63
6.23311,0.64
6.23491,0.6
6.23672,0.64
6.23852,0.56
6.24033,0.58
6.24213,0.65
6.24394,0.59
6.24574,0.71
6.24665,0.67
6.24755,0.99
6.24845,0.76
6.24935,0.95
6.25026,0.81
6.25116,0.85
6.25206,0.83
6.25296,1.05
6.25387,0.86
6.25477,0.98
6.25567,1.08
6.25658,1.01
6.25748,1.01
6.25838,1.1
6.25928,0.95
6.26019,1.08
6.26109,1.03
6.26199,1.08
6.26289,0.97
6.2638,0.99
6.2647,0.97
6.2656,0.9
6.2665,0.79
6.26741,1.02
6.26831,0.89
6.26921,0.91
6.27012,0.72
6.27102,0.84
6.27282,0.98
6.27373,0.83
6.27553,0.85
6.27643,0.8
6.27824,0.62
6.27914,0.91
6.28004,0.47
6.28095,0.62
6.28185,0.52
6.28275,0.44
6.28366,0.2
6.28456,0.46
6.28546,0.49
6.28636,0.32
6.28727,0.5
6.28817,0.45
6.28997,0.39
6.29178,0.39
6.29358,0.67
6.29539,0.69
6.29719,0.68
6.299,0.76
6.30147,0.78
6.30394,0.88
6.30641,0.82
6.30888,0.94
6.31135,0.84
6.31382,0.7
6.31605,0.81
6.31629,0.75
6.31876,0.73
6.31901,0.8
6.32123,0.68
6.32148,0.7
6.32371,0.55
6.32395,0.4
6.32618,0.52
6.32642,0.64
6.32865,0.57
6.32889,0.68
6.32889,0.55
6.33112,0.95
6.33136,0.71
6.33359,0.99
6.33383,0.95
6.33606,0.92
6.3363,0.86
6.33878,1.05
6.34125,1.09
6.34372,1.01
6.34619,1.06
6.34866,1
6.35113,0.88
6.3531,0.98
6.3531,1.11
6.35557,1
6.35805,1.01
6.36052,0.88
6.36299,0.89
6.36546,0.84
6.36793,0.87
6.3704,0.91
6.37287,0.87
6.37534,0.92
6.37781,0.8
6.38028,0.95
6.38275,0.91
6.38522,0.79
6.38769,0.9
6.38769,0.89
6.38769,0.87
6.39016,0.77
6.39263,0.69
6.3951,0.63
6.39757,0.82
6.40004,0.44
6.40251,0.8
6.40746,1
6.40795,0.98
6.41042,0.93
6.41289,0.98
6.41487,0.87
6.41536,0.95
6.41783,0.83
6.4203,0.91
6.42277,0.94
6.42524,0.91
6.42771,0.91
6.43018,0.79
6.43241,0.74
6.43513,0.58
6.4376,0.6
6.44007,0.7
6.44254,0.8
6.44501,0.89
6.44748,0.95
6.44995,0.94
6.45242,0.98
6.45489,1
6.45736,0.91
6.45983,0.79
6.4623,1.02
6.46477,0.73
6.46724,0.86
6.46971,0.55
6.47218,0.45
6.47465,0.72
6.47712,0.61
6.47959,0.77
6.48206,0.84
6.48454,0.84
6.48701,0.88
6.49195,0.78
6.49442,0.77
6.49689,0.74
6.49936,0.63
6.50183,0.67
6.5043,0.89
6.50553,0.84
6.50924,0.91
6.51171,0.87
6.51418,0.87
6.51665,0.94
6.51912,0.9
6.52159,0.86
6.52406,0.94
6.52653,0.76
6.529,0.75
6.53395,0.84
6.53642,0.81
6.53889,0.95
6.54136,0.82
6.54383,0.78
6.5463,0.84
