Age [Ma BP],Foram bent d13C [per mil PDB]
18.299,0.653
18.305,0.736
18.311,0.733
18.318,0.575
18.324,0.739
18.331,0.543
18.335,0.317
18.348,0.293
18.359,0.711
18.366,0.632
18.369,0.564
18.374,0.471
18.378,0.658
18.382,0.69
18.386,0.5
18.392,0.51
18.398,0.449
18.402,0.67
18.411,0.237
18.417,0.322
18.422,0.399
18.428,0.335
18.434,0.459
18.44,0.472
18.446,0.542
18.452,0.21
18.458,0.621
18.464,0.63
18.47,0.514
18.476,0.604
18.481,0.559
18.487,0.493
18.493,0.788
18.499,0.681
18.505,0.488
18.511,0.491
18.517,0.449
18.523,0.709
18.528,0.555
18.533,0.272
18.538,0.525
18.542,0.575
18.547,0.61
18.552,0.843
18.557,0.796
18.562,0.573
18.567,0.659
18.57,0.609
18.576,0.609
18.581,0.569
18.586,0.569
18.591,0.167
18.596,0.219
18.601,0.597
18.605,0.619
18.61,0.676
18.615,0.712
18.62,0.76
18.625,0.773
18.63,0.68
18.635,0.59
18.639,0.55
18.644,0.419
18.649,0.631
18.654,0.799
18.659,0.495
18.664,0.559
18.669,0.535
18.673,0.505
18.674,0.386
18.679,0.437
18.684,0.538
18.689,0.587
18.694,0.564
18.699,0.35
18.703,0.544
18.708,0.55
18.713,0.541
18.718,0.638
18.724,0.428
18.73,0.366
18.736,0.399
18.742,0.396
18.748,0.476
18.754,0.374
18.76,0.439
18.766,0.308
18.772,0.32
18.778,0.072
18.784,0.266
18.79,0.561
18.796,0.448
18.802,0.652
18.808,0.497
18.814,0.461
18.819,0.47
18.825,0.52
18.831,0.486
18.837,0.58
18.842,0.542
18.847,0.643
18.853,0.442
18.858,0.75
18.863,0.658
18.868,0.49
18.874,0.429
18.879,0.634
18.883,0.742
18.888,0.701
18.894,0.709
18.899,0.726
18.904,0.664
18.909,0.88
18.915,0.713
18.92,0.832
18.925,0.641
18.93,0.838
18.936,0.602
18.941,0.762
18.946,0.577
18.951,0.741
18.957,0.71
18.962,0.77
18.967,0.812
18.972,0.781
18.978,0.712
18.983,0.624
18.988,0.67
18.993,0.78
18.999,0.788
19.004,0.88
19.009,0.676
19.014,0.817
19.02,0.793
19.025,0.82
19.03,0.747
19.035,0.714
19.039,0.676
19.043,0.67
19.046,0.581
19.05,0.479
19.054,0.663
19.057,0.602
19.061,0.799
19.065,0.787
19.068,0.763
19.072,0.6
19.076,0.674
19.079,0.693
19.082,0.579
19.085,0.727
19.088,0.781
19.092,0.901
19.096,0.865
19.099,0.837
19.103,0.626
19.107,0.545
19.11,0.48
19.114,0.466
19.118,0.62
19.121,0.6
19.125,0.757
19.129,0.759
19.132,0.735
19.136,0.726
19.14,0.865
19.143,0.856
19.147,0.81
19.151,0.713
19.154,0.647
19.158,0.424
19.162,0.436
19.166,0.422
19.17,0.503
19.174,0.605
19.178,0.64
19.182,0.833
19.186,0.616
19.19,0.732
19.193,0.702
19.197,0.673
19.201,0.723
19.205,0.778
19.209,0.619
19.213,0.543
19.217,0.59
19.221,0.49
19.225,0.545
19.229,0.485
19.233,0.522
19.237,0.61
19.241,0.554
19.245,0.673
19.249,0.593
19.253,0.723
19.257,0.651
19.261,0.676
19.265,0.481
19.269,0.737
19.273,0.775
19.277,0.734
19.281,0.845
19.285,0.828
19.289,0.815
19.293,0.585
19.297,0.703
19.301,0.688
19.305,0.86
19.309,0.916
19.313,1.146
19.318,0.916
19.322,1.058
19.326,1.037
19.33,0.928
19.334,0.929
19.338,1.041
19.342,0.882
19.346,0.909
19.35,0.868
19.354,0.896
19.358,0.753
19.362,0.81
19.366,0.769
19.37,0.721
19.378,0.875
19.38,0.958
19.385,0.792
19.389,0.728
19.393,0.921
19.397,0.884
19.401,0.723
19.405,0.76
19.409,0.922
19.413,0.979
19.417,0.769
19.421,1.023
19.425,0.951
19.429,0.895
19.433,1.002
19.437,1.046
19.441,0.665
19.445,0.694
19.449,0.699
19.453,0.951
19.457,1.016
19.461,0.832
19.465,1.031
19.469,1.087
19.473,0.958
19.477,0.764
19.481,0.691
19.485,0.943
19.489,0.924
19.493,0.959
19.497,0.945
19.502,0.829
19.506,0.776
19.51,0.793
19.514,0.702
19.518,0.789
19.522,0.756
19.526,0.529
19.53,0.483
19.534,0.501
19.538,0.588
19.542,0.581
19.546,0.702
19.55,0.62
19.554,0.431
19.558,0.16
19.561,0.304
19.564,0.289
19.566,0.654
19.569,0.477
19.571,0.577
19.574,0.417
19.577,0.461
19.582,0.976
19.585,0.666
19.587,0.766
19.59,0.711
19.592,0.777
19.595,0.771
19.598,0.801
19.6,0.782
19.603,0.62
19.605,0.853
19.608,0.808
19.611,0.649
19.613,0.618
19.616,0.695
19.619,0.736
19.621,0.571
19.624,0.722
19.626,0.484
19.629,0.344
19.632,0.205
19.636,0.306
19.64,0.21
19.644,0.246
19.648,0.316
19.652,0.65
19.656,0.573
19.66,0.564
19.664,0.411
19.668,0.346
19.672,0.319
19.676,0.202
19.68,0.343
19.684,0.87
19.688,0.757
19.692,0.545
19.696,0.195
19.7,0.6
19.704,0.816
19.708,0.865
19.712,0.823
19.716,0.769
19.72,0.572
19.724,0.627
19.728,0.753
19.733,0.805
19.737,0.803
19.741,0.773
19.745,0.767
19.749,0.485
19.753,0.39
19.757,0.295
19.761,0.26
19.765,0.269
19.768,0.55
19.771,0.465
19.774,0.843
19.777,0.936
19.78,0.741
19.783,0.638
19.786,0.815
19.789,0.993
19.792,0.935
19.795,0.939
19.798,0.679
19.801,0.745
19.804,0.663
19.807,0.783
19.81,0.791
19.813,0.76
19.816,0.74
19.819,0.82
19.822,0.765
19.825,0.571
19.829,0.958
19.832,0.855
19.835,0.99
19.838,0.898
19.841,0.73
19.844,0.823
19.848,0.818
19.851,0.818
19.855,0.76
19.858,0.694
19.862,0.457
19.866,0.581
19.87,0.838
19.873,0.772
19.877,0.73
19.88,0.682
19.884,0.644
19.888,0.692
19.891,0.706
19.895,0.673
19.899,0.653
19.902,0.343
19.906,0.426
19.909,0.715
19.913,0.714
19.917,0.647
19.92,0.626
19.924,0.717
19.927,0.527
19.931,0.316
19.935,0.115
19.938,0.502
19.942,0.611
19.945,0.508
19.949,0.635
19.952,0.407
19.956,0.296
19.959,0.384
19.963,0.503
19.966,0.682
19.97,0.652
19.973,0.673
19.977,0.711
19.98,0.393
19.984,0.32
19.987,0.584
19.991,0.462
19.994,0.455
19.998,0.392
20.001,0.561
20.005,0.053
20.008,0.22
20.011,0.116
20.015,0.431
20.018,0.184
20.022,0.32
20.025,0.501
20.029,0.431
20.032,0.189
