NewAgeModel (Ma),_13C [per mil PDB]
14.77,1.13
14.772,1.09
14.774,1.19
14.775,1.22
14.777,1.29
14.779,1.15
14.781,1.17
14.783,1.29
14.785,1.29
14.787,1.25
14.793,1.13
14.797,1.14
14.801,1.19
14.804,1.28
14.808,1.3
14.812,1.07
14.816,0.97
14.82,0.91
14.824,1.51
14.827,1.29
14.831,1.13
14.835,0.93
14.837,0.85
14.839,1.04
14.842,1.34
14.844,1.37
14.846,1.48
14.848,1.41
14.85,1.22
14.852,1.46
14.853,0.94
14.855,1.01
14.855,1.39
14.857,1.27
14.859,1.07
14.861,1.03
14.864,1.05
14.866,1.16
14.868,1.31
14.87,1.39
14.872,1.38
14.875,1.36
14.877,1.34
14.879,1.27
14.881,1.26
14.883,1.24
14.886,1.2
14.888,1.23
14.89,1.2
14.892,1.27
14.895,1.25
14.897,1.35
14.899,1.32
14.901,1.24
14.903,1.23
14.906,1.28
14.908,1.13
14.91,1.13
14.914,1.2
14.918,1.39
14.922,1.41
14.926,1.21
14.93,0.95
14.933,1
14.937,1.01
14.941,1.42
14.945,1.43
14.949,1.24
14.953,1.27
14.957,1.52
14.961,1.42
14.964,1.39
14.968,1.32
14.972,1.3
14.976,1.44
14.98,1.48
14.984,1.48
14.987,1.38
14.991,1.29
14.995,1.36
14.999,1.39
15.003,1.36
15.007,1.46
15.01,1.25
15.014,1.23
15.018,1.25
15.022,1.28
15.026,1.25
15.03,1.21
15.034,1.25
15.037,1.18
15.041,1.22
15.045,1.11
15.049,1.12
15.053,1.03
15.057,1.14
15.06,1.22
15.064,1.18
15.068,1.19
15.072,1.23
15.076,1.21
15.08,0.94
15.084,1.3
15.088,1.38
15.092,1.01
15.096,0.86
15.1,0.99
15.103,1.14
15.107,1.3
15.111,1.36
15.115,1.37
15.119,1.15
15.122,1.32
15.126,1.5
15.129,1.44
15.133,1.41
15.136,1.34
15.139,1.19
15.142,1.24
15.146,1.38
15.148,1.31
15.151,1.17
15.154,1.4
15.158,1.29
15.161,1.33
15.164,1.4
15.168,1.33
15.171,1.24
15.174,1.28
15.177,1.18
15.181,1.39
15.184,1.45
15.187,1.42
15.191,1.21
15.194,0.79
15.2,1.04
15.205,1.52
15.211,1.38
15.217,1
15.223,0.96
15.228,1.17
15.234,1.22
15.24,1.36
15.246,1.52
15.251,1.36
15.257,1.33
15.263,1.36
15.269,1.51
15.274,1.67
15.28,1.51
15.286,1.42
15.29,1.68
15.295,1.63
15.299,1.37
15.303,1.1
15.308,1.25
15.312,1.52
15.312,1.59
15.316,1.71
15.321,1.58
15.325,1.44
15.328,1.43
15.33,1.56
15.333,1.59
15.336,1.57
15.339,1.44
15.341,1.53
15.344,1.62
15.347,1.64
15.35,1.69
15.352,1.65
15.355,1.61
15.358,1.56
15.361,1.67
15.363,1.6
15.366,1.51
15.369,1.48
15.372,1.42
15.372,1.39
15.374,1.49
15.377,1.58
15.38,1.63
15.383,1.69
15.385,1.66
15.388,1.49
15.391,1.56
15.393,1.64
15.396,1.62
15.399,1.65
15.402,1.55
15.404,1.41
15.407,1.45
15.41,
15.413,1.58
15.415,1.59
15.418,1.61
15.421,1.67
15.424,1.5
15.426,1.58
15.429,1.7
15.432,1.62
15.437,1.44
15.44,1.31
15.443,1.6
15.447,1.62
15.452,1.67
15.456,1.65
15.46,1.67
15.464,1.55
15.468,1.37
15.472,1.27
15.476,1.2
15.48,1.31
15.485,1.53
15.489,1.5
15.493,1.46
15.497,1.37
15.501,1.3
15.506,1.72
15.51,1.59
15.514,1.41
15.518,1.02
15.52,1.26
15.521,1.36
15.523,1.43
15.525,1.45
15.527,1.53
15.528,1.51
15.53,1.52
15.532,1.31
15.534,1.34
15.535,1.34
15.537,1.57
15.539,1.56
15.541,1.53
15.543,1.57
15.544,1.49
15.546,1.54
15.548,1.41
15.55,1.41
15.551,1.39
15.553,1.37
15.555,1.35
15.556,1.3
15.558,1.34
15.56,1.34
15.561,1.38
15.563,1.41
15.565,1.38
15.567,1.27
15.568,1.16
15.57,0.84
15.575,0.93
15.58,1.39
15.585,0.98
15.59,0.84
15.595,
15.6,1.57
15.605,1.5
15.61,0.76
15.613,0.87
15.617,1.43
15.62,
15.624,1.45
15.627,1.29
15.63,1.36
