Age (Ma) (automatic) (3),d13Cvpdb
25.050,0.668
25.053,0.726
25.055,1.017
25.061,0.672
25.062,0.609
25.066,0.879
25.073,0.394
25.078,0.633
25.081,0.491
25.081,0.529
25.082,0.364
25.087,0.846
25.093,0.343
25.096,0.663
25.101,0.679
25.102,0.319
25.104,0.508
25.106,0.556
25.108,0.654
25.110,0.491
25.112,0.478
25.114,0.450
25.115,0.774
25.117,0.525
25.119,0.619
25.120,0.540
25.124,0.861
25.131,0.823
25.136,0.426
25.140,0.809
25.141,0.757
25.143,0.727
25.145,0.515
25.147,0.659
25.151,0.246
25.156,0.754
25.159,0.417
25.160,0.537
25.162,0.592
25.166,0.723
25.172,0.408
25.177,-0.128
25.183,0.528
25.186,0.443
25.188,0.522
25.190,0.792
25.191,0.444
25.193,0.474
25.196,0.867
25.197,0.402
25.198,0.540
25.201,0.737
25.206,0.837
25.212,0.512
25.217,0.783
25.220,0.591
25.222,0.704
25.226,0.772
25.229,0.659
25.230,0.510
25.231,0.547
25.233,0.576
25.235,0.567
25.235,0.669
25.236,0.501
25.238,0.554
25.241,0.421
25.247,0.415
25.253,0.661
25.260,0.617
25.266,0.206
25.274,0.559
25.280,0.389
25.286,0.098
25.286,0.290
25.288,0.500
25.294,0.604
25.302,0.582
25.304,0.518
25.306,0.483
25.307,0.696
25.310,0.285
25.311,0.167
25.314,0.541
25.319,0.640
25.326,0.697
25.331,0.213
25.332,0.600
25.334,0.347
25.337,0.569
25.340,0.300
25.343,0.628
25.350,0.481
25.354,0.298
25.356,0.320
25.361,0.291
25.365,0.349
25.369,0.509
25.369,0.026
25.370,0.519
25.376,0.382
25.380,0.409
25.387,0.544
25.393,0.595
25.400,0.584
25.405,0.038
25.411,0.802
25.419,0.415
25.420,0.450
25.427,0.525
25.432,0.777
25.439,0.543
25.446,0.544
25.448,0.314
25.452,0.795
25.456,0.738
25.464,0.685
25.468,0.596
25.471,0.529
25.477,0.376
25.481,0.662
25.485,0.783
25.487,0.687
25.491,0.636
25.499,0.919
25.506,0.685
25.509,0.983
25.512,0.675
25.514,0.728
25.516,0.722
25.516,0.803
25.521,0.912
25.521,0.682
25.528,0.792
25.528,0.912
25.534,0.835
25.534,0.692
25.535,0.690
25.539,0.789
25.539,0.790
25.549,0.895
25.556,0.988
25.562,0.380
25.567,0.656
25.575,0.908
25.583,1.014
25.586,0.982
25.588,0.948
25.592,0.914
25.592,0.760
25.599,0.983
25.603,0.815
25.607,0.963
25.614,0.928
25.621,0.578
25.627,0.835
25.632,0.563
25.634,0.555
25.636,0.623
25.640,0.450
25.645,0.659
25.650,0.797
25.654,0.848
25.672,0.850
25.675,0.554
25.677,0.568
25.679,0.495
25.681,0.459
25.683,0.425
25.685,0.471
25.687,0.870
25.689,0.957
25.692,0.188
25.696,0.749
25.703,0.645
25.707,0.534
25.708,0.397
25.710,0.713
25.712,0.324
25.716,0.703
25.717,0.382
25.718,0.340
25.720,0.741
25.722,0.543
25.723,0.524
25.725,0.583
25.726,0.617
25.728,0.703
25.729,0.452
25.731,0.508
25.732,0.417
25.734,0.450
25.735,-0.150
25.735,0.319
25.737,0.522
25.740,0.749
25.742,0.998
25.744,0.697
25.747,0.614
25.749,0.983
25.750,0.586
25.756,0.377
25.761,0.800
25.762,0.694
25.763,1.001
25.764,0.375
25.766,1.163
25.767,0.780
25.768,0.369
25.771,0.731
25.773,0.489
25.777,0.856
25.781,0.777
25.782,0.886
25.782,0.886
25.784,0.935
25.789,0.549
25.792,0.912
25.796,0.596
25.801,0.367
25.803,0.444
25.811,1.060
25.820,0.817
25.824,0.808
25.829,0.775
25.833,0.836
25.836,0.789
25.842,0.434
25.845,0.545
25.852,0.878
25.856,0.820
25.860,0.908
25.868,0.341
25.876,1.084
25.885,0.878
25.893,1.010
25.897,0.858
