TuningAge(Ka),d13C
7.7904,0.61
7.7925,0.57
7.7945,0.43
7.7965,0.82
7.7985,-0.1
7.8006,0.65
7.8023,-0.02
7.8044,0.62
7.8064,0.65
7.8084,0.5
7.8104,0.72
7.8125,0.44
7.8145,0.61
7.8165,0.88
7.8305,0.69
7.8329,0.37
7.8352,0.61
7.8376,0.38
7.84,0.26
7.8424,0.71
7.8447,0.35
7.8471,0.05
7.8495,0.57
7.8519,0.88
7.8547,0.71
7.8571,0.26
7.8595,-0.24
7.8619,0.65
7.8642,-0.23
7.8666,0.46
7.869,-0.22
7.8714,0.74
7.8731,0.05
7.8748,0.69
7.8761,0.81
7.8778,0.59
7.8795,-0.4
7.8812,0.33
7.8828,0.26
7.8845,-0.3
7.8862,0.27
7.8879,0.08
7.8895,-0.12
7.8912,0.26
7.8927,0.63
7.8943,0.36
7.896,0.21
7.8977,0.28
7.8994,-0.33
7.901,0.27
7.9027,-0.63
7.9044,-0.72
7.9077,0.14
7.911,-0.22
7.9147,0.21
7.918,0.21
7.9213,-0.27
7.9246,0.6
7.9278,-0.39
7.9311,-0.46
7.9344,0.24
7.9377,-0.53
7.941,0.41
7.9443,0.47
7.9476,-0.83
7.9506,0.35
7.9511,-0.712
7.9536,0.04
7.9557,0.495
7.9577,0.41
7.9597,-0.39
7.9623,-0.01
7.9641,0.39
7.9661,0.22
7.9674,0.01
7.9697,0.1
7.9721,0.01
7.9743,0.08
7.9788,0.531
7.9788,0.32
7.981,-0.438
7.9831,-1.07
7.9852,0.06
7.9874,-0.165
7.9895,-0.455
7.9917,0.18
7.9939,0.27
7.9961,-0.279
7.9983,-0.61
8.0003,0.44
8.0025,0.45
8.0048,0.43
8.007,-0.72
8.0092,0.42
8.0115,-0.17
8.0137,-0.08
8.016,0.06
8.0182,-0.14
8.0204,-0.68
8.0234,-1.1
8.0257,-0.33
8.0279,-0.05
8.0301,0.45
8.0324,-0.1
8.0346,0.07
8.0369,0.28
8.0391,-0.59
8.0415,-0.62
8.044,0.41
8.046,-0.66
8.0485,0.4
8.051,-0.23
8.0535,-0.46
8.056,-0.45
8.0584,-0.4
8.0609,0.29
8.0634,-0.32
8.0659,-0.16
8.0684,0.55
8.0706,-0.39
8.073,0.51
8.0755,0.45
8.078,-0.76
8.0797,-0.18
8.0814,-0.63
8.0831,-0.26
8.0848,0.05
8.0868,-0.21
8.0885,0.44
8.0901,-0.53
8.0917,0.07
8.0934,-0.71
8.0951,-0.33
8.0968,-0.57
8.0985,-0.33
8.1002,0.44
8.1019,0.27
8.1027,-0.03
8.1041,-0.66
8.1061,-0.2
8.1078,0.49
8.1094,-0.07
8.111,0.1
8.1126,-0.05
8.1146,-0.19
8.1164,-0.2
8.1198,-0.42
8.1231,0.526
8.1268,0.21
8.1307,0.51
8.1344,0.46
8.1392,0.3
8.1433,0.45
8.1457,0.4
8.1489,0.15
8.1522,0.11
8.1555,0.22
8.1586,-0.24
8.1607,0.12
8.1629,-0.37
8.165,-0.47
8.1672,0.43
8.1693,0.55
8.1715,0.49
8.1736,-0.51
8.1758,0.43
8.1779,0.65
8.1801,0.69
8.1823,-0.36
8.1844,0.82
8.1866,0.46
8.1884,-0.13
8.1912,0.24
8.1933,0.71
8.1955,0.31
8.1983,-0.17
8.2007,-0.59
8.205,0.58
8.2092,0.71
8.2135,0.55
8.2177,0.2
8.2206,-0.11
8.2248,0.44
8.2291,0.31
8.2334,0.17
8.2368,0.12
8.2414,-0.45
8.2576,0.42
8.262,-0.05
8.2686,-0.78
8.2749,-0.11
8.2795,-0.77
8.2824,0.37
8.2849,-0.06
8.2879,0.51
8.2901,-0.66
8.2929,0.04
8.2956,0.51
8.2983,0.45
8.3009,-0.21
8.3036,0.36
8.3063,0.42
8.3113,0.5
8.314,0.3
8.3167,-0.46
8.3199,0.19
8.3231,-0.01
8.3263,0.33
8.3295,0.21
8.3327,0.35
8.336,0.51
8.3392,0.37
8.3422,0.33
8.3458,-0.22
8.3486,-0.76
8.352,0.4
8.355,-0.58
8.3582,-0.3
8.3614,-0.59
8.3645,0.09
8.3676,-0.53
8.3706,0.39
8.3736,0.37
8.377,-0.09
8.3797,0.51
8.3829,0.06
8.3858,0.32
8.3887,-0.12
8.3917,-0.25
8.3949,0.3
8.3982,-0.47
8.401,0.26
8.4046,-0.16
8.4076,0.34
8.4105,0.47
8.4135,0.33
8.4165,0.86
8.4194,0.03
8.4224,0.49
8.4253,-0.05
8.4336,1.02
8.436,0.39
8.4395,0.76
8.4425,0.43
8.4459,0.53
8.4494,0.59
8.4529,0.56
8.4564,-0.41
8.4599,-0.27
8.4634,0.46
8.4675,0.63
8.471,0.66
8.4733,0.28
8.4768,-0.69
8.4804,0.41
8.4851,0.43
8.4886,0.59
8.4927,-0.49
8.5133,0.44
8.518,0.39
8.5218,-0.29
8.5253,-0.3
8.5262,-0.4
8.5286,-0.14
8.5288,0.56
8.5318,0.32
8.5346,-0.04
8.5382,0.77
8.5417,-0.16
8.5443,-0.13
8.5475,0.42
8.5509,0.65
8.5542,0.06
8.5574,0.14
8.5608,0.28
8.5642,0.29
8.5691,-0.46
8.574,-0.38
8.5783,0.59
8.5824,0.33
8.5924,-0.08
8.5965,0.57
8.6009,0.45
8.6044,-0.41
8.607,-0.38
8.6105,0.18
8.6141,0.55
8.6174,0.76
8.6195,0.73
8.6221,0.58
8.6249,0.79
8.6275,0.55
8.6301,0.55
8.6327,-0.35
8.6355,0.69
8.6379,-0.44
8.6439,-0.68
8.6514,0.72
8.6542,0.67
8.6567,-0.09
8.6592,-0.13
8.6614,0.12
8.6641,0.288
8.6669,-0.02
8.6688,0.77
8.6714,-0.013
8.6741,0.29
8.6766,0.086
8.6791,0.61
8.6818,-0.559
8.69,-0.023
8.6934,0.547
8.6969,1.26
8.7004,0.4
8.7048,1.09
8.7289,0.3
8.738,-0.25
8.7445,-0.47
8.7494,0.03
8.7533,0.23
8.7559,0.49
8.7593,0.43
8.7623,-0.35
8.7654,-0.66
8.7709,0.54
8.7786,-0.75
8.7855,0.42
8.7916,-0.08
8.7974,0.08
8.8048,-0.23
8.8081,0.45
8.811,0.55
8.819,-0.05
8.8226,-1.07
8.8274,0.05
8.8311,0.48
8.8352,0.08
8.8396,-0.52
8.8442,-0.04
8.8487,-0.45
8.8549,-0.57
8.8612,0.08
8.8683,0.37
8.875,0.16
8.8822,0.51
8.8884,-0.25
8.8935,0.31
8.8988,-0.19
8.9045,0.71
8.9077,0.24
8.913,-0.06
8.9183,0.11
8.9238,0.17
8.9287,0.05
8.9349,-0.18
8.9376,0.44
8.9404,0.21
8.9437,0.62
8.9466,0.28
8.9491,0.78
8.9527,0.51
8.9557,0.74
8.9594,0.8
8.963,0.53
8.9664,0.61
8.9695,0.02
8.9756,0.81
8.9811,0.83
0,1.03
0,0.69
