Age [ka BP] (AgeD17MT (this study)),Foram bent δ13C [‰ PDB] (vs. VPDB),Foram bent δ18O [‰ PDB] (vs. VPDB),Foram bent δ13C [‰ PDB] (benthic d13C corrected to equ...),Foram bent δ18O [‰ PDB] (benthic d18O corrected to equ...),Reference,Species
6541.36,0.82,2.2,0.82,2.84,"Hodell et al., 2001",C.wuellerstorfi
6543.83,0.78,2.04,0.78,2.68,"Hodell et al., 2001",C.wuellerstorfi
6546.3,0.84,2.09,0.84,2.73,"Hodell et al., 2001",C.wuellerstorfi
6548.77,0.89,2.12,0.89,2.76,"Hodell et al., 2001",C.wuellerstorfi
6551.24,0.78,2.07,0.78,2.71,"Hodell et al., 2001",C.wuellerstorfi
6553.71,0.84,2.09,0.84,2.73,"Hodell et al., 2001",C.wuellerstorfi
6556.18,0.91,2.19,0.91,2.83,"Hodell et al., 2001",C.wuellerstorfi
6558.65,0.82,2.16,0.82,2.8,"Hodell et al., 2001",C.wuellerstorfi
6561.12,0.76,2.17,0.76,2.81,"Hodell et al., 2001",C.wuellerstorfi
6563.59,0.74,2.12,0.74,2.76,"Hodell et al., 2001",C.wuellerstorfi
6566.06,0.89,2.19,0.89,2.83,"Hodell et al., 2001",C.wuellerstorfi
6568.53,0.69,2.11,0.69,2.75,"Hodell et al., 2001",C.wuellerstorfi
6571,0.71,2.08,0.71,2.72,"Hodell et al., 2001",C.wuellerstorfi
6573.47,0.59,2.16,0.59,2.8,"Hodell et al., 2001",C.wuellerstorfi
6575.94,0.62,2.25,0.62,2.89,"Hodell et al., 2001",C.wuellerstorfi
6578.41,0.49,2.18,0.49,2.82,"Hodell et al., 2001",C.wuellerstorfi
6579.16,0.68,2.11,0.68,2.75,"Hodell et al., 2001",C.wuellerstorfi
6580.89,0.38,2.15,0.38,2.79,"Hodell et al., 2001",C.wuellerstorfi
6581.63,0.74,2.13,0.74,2.77,"Hodell et al., 2001",C.wuellerstorfi
6583.36,0.66,2.27,0.66,2.91,"Hodell et al., 2001",C.wuellerstorfi
6584.1,0.35,2.23,0.35,2.87,"Hodell et al., 2001",C.wuellerstorfi
6585.83,0.73,2.2,0.73,2.84,"Hodell et al., 2001",C.wuellerstorfi
6586.57,0.55,2.21,0.55,2.85,"Hodell et al., 2001",C.wuellerstorfi
6588.3,0.7,2.15,0.7,2.79,"Hodell et al., 2001",C.wuellerstorfi
6589.04,0.39,2.24,0.39,2.88,"Hodell et al., 2001",C.wuellerstorfi
6591.51,0.7,2.07,0.7,2.71,"Hodell et al., 2001",C.wuellerstorfi
6593.98,0.75,2.05,0.75,2.69,"Hodell et al., 2001",C.wuellerstorfi
6596.45,0.86,2.18,0.86,2.82,"Hodell et al., 2001",C.wuellerstorfi
6598.92,0.61,2.04,0.61,2.68,"Hodell et al., 2001",C.wuellerstorfi
6603.86,0.82,2.21,0.82,2.85,"Hodell et al., 2001",C.wuellerstorfi
6606.08,0.83,2.21,0.83,2.85,"Hodell et al., 2001",C.wuellerstorfi
6608.8,0.7,2.14,0.7,2.78,"Hodell et al., 2001",C.wuellerstorfi
6611.27,0.54,2.11,0.54,2.75,"Hodell et al., 2001",C.wuellerstorfi
6613.74,0.77,2.18,0.77,2.82,"Hodell et al., 2001",C.wuellerstorfi
6616.21,0.39,2.15,0.39,2.79,"Hodell et al., 2001",C.wuellerstorfi
6618.68,0.61,2.17,0.61,2.81,"Hodell et al., 2001",C.wuellerstorfi
6621.15,0.71,2.18,0.71,2.82,"Hodell et al., 2001",C.wuellerstorfi
6623.63,0.51,2.15,0.51,2.79,"Hodell et al., 2001",C.wuellerstorfi
6626.1,0.75,2.15,0.75,2.79,"Hodell et al., 2001",C.wuellerstorfi
6628.57,0.81,2.17,0.81,2.81,"Hodell et al., 2001",C.wuellerstorfi
6631.53,0.83,2.09,0.83,2.73,"Hodell et al., 2001",C.wuellerstorfi
6634,0.8,2.18,0.8,2.82,"Hodell et al., 2001",C.wuellerstorfi
6636.47,0.71,2.07,0.71,2.71,"Hodell et al., 2001",C.wuellerstorfi
6638.94,0.63,2.08,0.63,2.72,"Hodell et al., 2001",C.wuellerstorfi
6641.41,0.38,2.13,0.38,2.77,"Hodell et al., 2001",C.wuellerstorfi
6643.88,0.57,2.13,0.57,2.77,"Hodell et al., 2001",C.wuellerstorfi
6646.35,0.52,2.21,0.52,2.85,"Hodell et al., 2001",C.wuellerstorfi
6648.82,0.42,2.25,0.42,2.89,"Hodell et al., 2001",C.wuellerstorfi
6651.3,0.39,2.21,0.39,2.85,"Hodell et al., 2001",C.wuellerstorfi
6653.77,0.64,2.21,0.64,2.85,"Hodell et al., 2001",C.wuellerstorfi
6656.24,0.57,2.12,0.57,2.76,"Hodell et al., 2001",C.wuellerstorfi
6661.18,0.46,2.18,0.46,2.82,"Hodell et al., 2001",C.wuellerstorfi
6663.65,0.49,2.11,0.49,2.75,"Hodell et al., 2001",C.wuellerstorfi
6666.12,0.53,2.22,0.53,2.86,"Hodell et al., 2001",C.wuellerstorfi
6668.59,0.67,2.08,0.67,2.72,"Hodell et al., 2001",C.wuellerstorfi
6671.06,0.55,2.03,0.55,2.67,"Hodell et al., 2001",C.wuellerstorfi
6673.53,0.7,2.13,0.7,2.77,"Hodell et al., 2001",C.wuellerstorfi
6676,0.61,1.97,0.61,2.61,"Hodell et al., 2001",C.wuellerstorfi
6679.5,0.42,1.96,0.42,2.6,"Hodell et al., 2001",C.wuellerstorfi
6682.18,0.45,2.2,0.45,2.84,"Hodell et al., 2001",C.wuellerstorfi
6684.25,0.56,2.3,0.56,2.94,"Hodell et al., 2001",C.wuellerstorfi
6686.31,0.28,2.29,0.28,2.93,"Hodell et al., 2001",C.wuellerstorfi
6688.37,0.15,2.23,0.15,2.87,"Hodell et al., 2001",C.wuellerstorfi
6690.43,0.36,2.43,0.36,3.07,"Hodell et al., 2001",C.wuellerstorfi
6692.49,0.41,2.08,0.41,2.72,"Hodell et al., 2001",C.wuellerstorfi
6694.55,0.46,2.17,0.46,2.81,"Hodell et al., 2001",C.wuellerstorfi
6696.61,0.67,2.1,0.67,2.74,"Hodell et al., 2001",C.wuellerstorfi
6698.67,0.64,2.2,0.64,2.84,"Hodell et al., 2001",C.wuellerstorfi
6700.74,0.57,2.06,0.57,2.7,"Hodell et al., 2001",C.wuellerstorfi
6702.8,0.47,2.05,0.47,2.69,"Hodell et al., 2001",C.wuellerstorfi
6704.86,0.49,2.16,0.49,2.8,"Hodell et al., 2001",C.wuellerstorfi
6706.92,0.66,2.29,0.66,2.93,"Hodell et al., 2001",C.wuellerstorfi
6708.98,0.71,2.24,0.71,2.88,"Hodell et al., 2001",C.wuellerstorfi
6711.04,0.82,2.13,0.82,2.77,"Hodell et al., 2001",C.wuellerstorfi
6713.1,0.8,2.2,0.8,2.84,"Hodell et al., 2001",C.wuellerstorfi
6717.23,0.7,2.18,0.7,2.82,"Hodell et al., 2001",C.wuellerstorfi
6719.29,0.73,2.19,0.73,2.83,"Hodell et al., 2001",C.wuellerstorfi
6721.35,0.74,2.21,0.74,2.85,"Hodell et al., 2001",C.wuellerstorfi
6723.41,0.74,2.21,0.74,2.85,"Hodell et al., 2001",C.wuellerstorfi
6725.47,0.62,2.14,0.62,2.78,"Hodell et al., 2001",C.wuellerstorfi
6727.53,0.76,2.19,0.76,2.83,"Hodell et al., 2001",C.wuellerstorfi
6729.6,0.83,2.15,0.83,2.79,"Hodell et al., 2001",C.wuellerstorfi
6731.66,0.76,2.15,0.76,2.79,"Hodell et al., 2001",C.wuellerstorfi
6733.72,0.91,2.07,0.91,2.71,"Hodell et al., 2001",C.wuellerstorfi
6735.78,0.89,2.03,0.89,2.67,"Hodell et al., 2001",C.wuellerstorfi
6737.84,0.93,2.02,0.93,2.66,"Hodell et al., 2001",C.wuellerstorfi
6739.9,0.84,1.99,0.84,2.63,"Hodell et al., 2001",C.wuellerstorfi
6741.76,0.79,2.09,0.79,2.73,"Hodell et al., 2001",C.wuellerstorfi
6744.02,0.83,2.16,0.83,2.8,"Hodell et al., 2001",C.wuellerstorfi
6746.09,0.78,2.13,0.78,2.77,"Hodell et al., 2001",C.wuellerstorfi
6748.15,0.76,2.1,0.76,2.74,"Hodell et al., 2001",C.wuellerstorfi
6750.21,0.69,2.18,0.69,2.82,"Hodell et al., 2001",C.wuellerstorfi
6752.27,0.56,2.02,0.56,2.66,"Hodell et al., 2001",C.wuellerstorfi
6754.33,0.48,2.01,0.48,2.65,"Hodell et al., 2001",C.wuellerstorfi
6756.39,0.5,2.14,0.5,2.78,"Hodell et al., 2001",C.wuellerstorfi
6758.45,0.6,2.12,0.6,2.76,"Hodell et al., 2001",C.wuellerstorfi
6760.52,0.51,2.22,0.51,2.86,"Hodell et al., 2001",C.wuellerstorfi
6762.58,0.48,2.1,0.48,2.74,"Hodell et al., 2001",C.wuellerstorfi
6764.64,0.68,2.21,0.68,2.85,"Hodell et al., 2001",C.wuellerstorfi
6766.7,0.58,2.1,0.58,2.74,"Hodell et al., 2001",C.wuellerstorfi
6768.76,0.79,2.08,0.79,2.72,"Hodell et al., 2001",C.wuellerstorfi
6770.82,0.77,2.03,0.77,2.67,"Hodell et al., 2001",C.wuellerstorfi
6772.88,0.81,2.06,0.81,2.7,"Hodell et al., 2001",C.wuellerstorfi
6774.94,0.81,2.04,0.81,2.68,"Hodell et al., 2001",C.wuellerstorfi
6777.01,0.81,1.91,0.81,2.55,"Hodell et al., 2001",C.wuellerstorfi
6779.07,0.85,2.03,0.85,2.67,"Hodell et al., 2001",C.wuellerstorfi
6781.13,0.75,1.88,0.75,2.52,"Hodell et al., 2001",C.wuellerstorfi
6783.19,0.81,1.95,0.81,2.59,"Hodell et al., 2001",C.wuellerstorfi
6785.25,0.78,2.04,0.78,2.68,"Hodell et al., 2001",C.wuellerstorfi
6789.37,0.86,2.13,0.86,2.77,"Hodell et al., 2001",C.wuellerstorfi
6790.4,0.86,2.11,0.86,2.75,"Hodell et al., 2001",C.wuellerstorfi
6792.47,0.79,2.16,0.79,2.8,"Hodell et al., 2001",C.wuellerstorfi
6794.53,0.41,2.16,0.41,2.8,"Hodell et al., 2001",C.wuellerstorfi
6796.59,1.04,2.29,1.04,2.93,"Hodell et al., 2001",C.wuellerstorfi
6798.65,0.86,2.15,0.86,2.79,"Hodell et al., 2001",C.wuellerstorfi
6800.71,0.68,2.05,0.68,2.69,"Hodell et al., 2001",C.wuellerstorfi
6802.77,0.78,2.07,0.78,2.71,"Hodell et al., 2001",C.wuellerstorfi
6804.83,0.81,2.06,0.81,2.7,"Hodell et al., 2001",C.wuellerstorfi
6806.9,0.64,2.16,0.64,2.8,"Hodell et al., 2001",C.wuellerstorfi
6808.96,0.85,2.22,0.85,2.86,"Hodell et al., 2001",C.wuellerstorfi
6811.02,0.69,2.15,0.69,2.79,"Hodell et al., 2001",C.wuellerstorfi
6813.08,0.75,2.16,0.75,2.8,"Hodell et al., 2001",C.wuellerstorfi
6815.14,0.82,2.21,0.82,2.85,"Hodell et al., 2001",C.wuellerstorfi
6817.2,0.83,2.08,0.83,2.72,"Hodell et al., 2001",C.wuellerstorfi
6819.26,1.03,2.09,1.03,2.73,"Hodell et al., 2001",C.wuellerstorfi
6823.39,0.74,2.19,0.74,2.83,"Hodell et al., 2001",C.wuellerstorfi
6825.45,0.86,2.06,0.86,2.7,"Hodell et al., 2001",C.wuellerstorfi
6827.51,0.89,2.07,0.89,2.71,"Hodell et al., 2001",C.wuellerstorfi
6829.57,1.01,2.17,1.01,2.81,"Hodell et al., 2001",C.wuellerstorfi
6831.63,1.11,2.25,1.11,2.89,"Hodell et al., 2001",C.wuellerstorfi
6833.69,0.87,2.05,0.87,2.69,"Hodell et al., 2001",C.wuellerstorfi
6837.82,0.66,1.9,0.66,2.54,"Hodell et al., 2001",C.wuellerstorfi
6840.08,0.84,2.14,0.84,2.78,New data (this study),C.wuellerstorfi
6841.94,0.8,2.12,0.8,2.76,"Hodell et al., 2001",C.wuellerstorfi
6844,0.74,1.98,0.74,2.62,"Hodell et al., 2001",C.wuellerstorfi
6850.38,0.49,1.83,0.49,2.47,"Hodell et al., 2001",C.wuellerstorfi
6852.5,0.72,2.18,0.72,2.82,"Hodell et al., 2001",C.wuellerstorfi
6854.63,0.64,2.14,0.64,2.78,"Hodell et al., 2001",C.wuellerstorfi
6856.76,0.79,2.38,0.79,3.02,"Hodell et al., 2001",C.wuellerstorfi
6858.67,0.7,2.31,0.7,2.95,New data (this study),C.wuellerstorfi
6861.22,0.64,2.36,0.64,3,New data (this study),C.wuellerstorfi
6862.71,0.57,2.38,0.57,3.02,"Hodell et al., 2001",C.wuellerstorfi
6863.35,0.54,2.38,0.54,3.02,New data (this study),C.wuellerstorfi
6864.84,0.48,2.35,0.48,2.99,"Hodell et al., 2001",C.wuellerstorfi
6865.47,0.59,2.39,0.59,3.03,New data (this study),C.wuellerstorfi
6866.96,0.62,2.36,0.62,3,"Hodell et al., 2001",C.wuellerstorfi
6867.6,0.28,2.34,0.28,2.98,New data (this study),C.wuellerstorfi
6867.6,0.28,2.35,0.28,2.99,New data (this study),C.wuellerstorfi
6869.09,0.55,2.35,0.55,2.99,"Hodell et al., 2001",C.wuellerstorfi
6871.21,0.31,2.27,0.31,2.91,"Hodell et al., 2001",C.wuellerstorfi
6873.34,0.95,2.32,0.95,2.96,"Hodell et al., 2001",C.wuellerstorfi
6875.47,1.03,2.25,1.03,2.89,"Hodell et al., 2001",C.wuellerstorfi
6877.59,1.03,2.29,1.03,2.93,"Hodell et al., 2001",C.wuellerstorfi
6879.72,1.07,2.02,1.07,2.66,"Hodell et al., 2001",C.wuellerstorfi
6881.85,0.95,2.12,0.95,2.76,"Hodell et al., 2001",C.wuellerstorfi
6883.97,1.01,2.13,1.01,2.77,"Hodell et al., 2001",C.wuellerstorfi
6886.1,0.98,2.24,0.98,2.88,"Hodell et al., 2001",C.wuellerstorfi
6888.22,0.76,1.91,0.76,2.55,"Hodell et al., 2001",C.wuellerstorfi
6890.35,0.9,2.24,0.9,2.88,"Hodell et al., 2001",C.wuellerstorfi
6892.48,0.56,2.19,0.56,2.83,"Hodell et al., 2001",C.wuellerstorfi
6894.6,0.79,2.22,0.79,2.86,"Hodell et al., 2001",C.wuellerstorfi
6896.73,0.55,2.04,0.55,2.68,"Hodell et al., 2001",C.wuellerstorfi
6898.85,0.74,2.16,0.74,2.8,"Hodell et al., 2001",C.wuellerstorfi
6900.98,0.84,2.19,0.84,2.83,"Hodell et al., 2001",C.wuellerstorfi
6903.11,0.91,2.28,0.91,2.92,"Hodell et al., 2001",C.wuellerstorfi
6905.23,0.82,2.29,0.82,2.93,"Hodell et al., 2001",C.wuellerstorfi
6907.36,0.77,2.22,0.77,2.86,"Hodell et al., 2001",C.wuellerstorfi
6909.49,0.91,2.27,0.91,2.91,"Hodell et al., 2001",C.wuellerstorfi
6911.61,0.74,2.23,0.74,2.87,"Hodell et al., 2001",C.wuellerstorfi
6913.74,0.81,2.22,0.81,2.86,"Hodell et al., 2001",C.wuellerstorfi
6915.86,0.99,2.24,0.99,2.88,"Hodell et al., 2001",C.wuellerstorfi
6917.99,0.75,2.38,0.75,3.02,"Hodell et al., 2001",C.wuellerstorfi
6920.12,0.99,2.24,0.99,2.88,"Hodell et al., 2001",C.wuellerstorfi
6922.24,0.91,2.13,0.91,2.77,"Hodell et al., 2001",C.wuellerstorfi
6924.37,0.85,2.12,0.85,2.76,"Hodell et al., 2001",C.wuellerstorfi
6926.49,0.92,2.19,0.92,2.83,"Hodell et al., 2001",C.wuellerstorfi
6928.62,0.77,2.27,0.77,2.91,"Hodell et al., 2001",C.wuellerstorfi
6930.75,0.84,2.12,0.84,2.76,"Hodell et al., 2001",C.wuellerstorfi
6932.87,0.91,2.1,0.91,2.74,"Hodell et al., 2001",C.wuellerstorfi
6935,0.8,2.15,0.8,2.79,"Hodell et al., 2001",C.wuellerstorfi
6939.46,0.83,2.35,0.83,2.99,New data (this study),C.wuellerstorfi
6941.59,0.71,2.31,0.71,2.95,New data (this study),C.wuellerstorfi
6941.59,0.75,2.25,0.75,2.89,New data (this study),C.wuellerstorfi
6943.72,0.88,2.34,0.88,2.98,New data (this study),C.wuellerstorfi
6945.84,0.9,2.29,0.9,2.93,New data (this study),C.wuellerstorfi
6947.97,0.96,2.32,0.96,2.96,New data (this study),C.wuellerstorfi
6950.09,0.88,2.21,0.88,2.85,New data (this study),C.wuellerstorfi
6952.22,0.92,2.31,0.92,2.95,New data (this study),C.wuellerstorfi
6954.35,0.75,2.27,0.75,2.91,New data (this study),C.wuellerstorfi
6956.47,0.84,2.21,0.84,2.85,New data (this study),C.wuellerstorfi
6958.6,0.9,2.27,0.9,2.91,New data (this study),C.wuellerstorfi
6960.73,0.72,2.03,0.72,2.67,New data (this study),C.wuellerstorfi
6962.85,0.84,2.22,0.84,2.86,New data (this study),C.wuellerstorfi
6964.98,0.67,2.11,0.67,2.75,New data (this study),C.wuellerstorfi
6967.1,0.71,1.99,0.71,2.63,New data (this study),C.wuellerstorfi
6967.1,0.76,1.94,0.76,2.58,New data (this study),C.wuellerstorfi
6969.23,0.63,2.14,0.63,2.78,New data (this study),C.wuellerstorfi
6971.36,0.57,2.27,0.57,2.91,New data (this study),C.wuellerstorfi
6973.48,0.58,2.23,0.58,2.87,New data (this study),C.wuellerstorfi
6975.61,0.82,2.27,0.82,2.91,New data (this study),C.wuellerstorfi
6977.73,1.15,2.38,1.15,3.02,New data (this study),C.wuellerstorfi
6979.86,0.8,2.25,0.8,2.89,New data (this study),C.wuellerstorfi
6981.99,1.1,2.12,1.1,2.76,New data (this study),C.wuellerstorfi
6984.11,1.09,2.2,1.09,2.84,New data (this study),C.wuellerstorfi
6984.11,1.04,2.14,1.04,2.78,New data (this study),C.wuellerstorfi
6986.24,1.12,2.26,1.12,2.9,New data (this study),C.wuellerstorfi
6988.37,1.08,2.14,1.08,2.78,New data (this study),C.wuellerstorfi
6989.22,0.78,2.11,0.78,2.75,"Hodell et al., 2001",C.wuellerstorfi
6990.49,1.06,2.11,1.06,2.75,New data (this study),C.wuellerstorfi
6991.34,1.2,2.06,1.2,2.7,"Hodell et al., 2001",C.wuellerstorfi
6992.62,1.13,2.09,1.13,2.73,New data (this study),C.wuellerstorfi
6993.47,1.19,2.06,1.19,2.7,"Hodell et al., 2001",C.wuellerstorfi
6994.74,1.16,1.98,1.16,2.62,New data (this study),C.wuellerstorfi
6995.59,1.01,2.19,1.01,2.83,"Hodell et al., 2001",C.wuellerstorfi
6996.87,1.09,2.1,1.09,2.74,New data (this study),C.wuellerstorfi
6997.72,1.09,2.01,1.09,2.65,"Hodell et al., 2001",C.wuellerstorfi
6999.85,0.92,2.08,0.92,2.72,"Hodell et al., 2001",C.wuellerstorfi
7001.97,1.12,2.11,1.12,2.75,"Hodell et al., 2001",C.wuellerstorfi
7004.1,0.99,2.01,0.99,2.65,"Hodell et al., 2001",C.wuellerstorfi
7008.35,0.95,2.15,0.95,2.79,"Hodell et al., 2001",C.wuellerstorfi
7014.73,0.75,2.3,0.75,2.94,"Hodell et al., 2001",C.wuellerstorfi
7016.86,0.63,2.23,0.63,2.87,"Hodell et al., 2001",C.wuellerstorfi
7021.11,0.83,2.22,0.83,2.86,"Hodell et al., 2001",C.wuellerstorfi
7023.23,0.33,2.35,0.33,2.99,"Hodell et al., 2001",C.wuellerstorfi
7025.36,0.89,2.03,0.89,2.67,"Hodell et al., 2001",C.wuellerstorfi
7027.49,0.98,1.93,0.98,2.57,"Hodell et al., 2001",C.wuellerstorfi
7029.61,0.81,1.98,0.81,2.62,"Hodell et al., 2001",C.wuellerstorfi
7031.74,0.99,1.99,0.99,2.63,"Hodell et al., 2001",C.wuellerstorfi
7035.99,1.19,2.14,1.19,2.78,"Hodell et al., 2001",C.wuellerstorfi
7038.12,0.96,2.27,0.96,2.91,"Hodell et al., 2001",C.wuellerstorfi
7040.24,0.8,2.04,0.8,2.68,"Hodell et al., 2001",C.wuellerstorfi
7042.37,0.96,2.19,0.96,2.83,"Hodell et al., 2001",C.wuellerstorfi
7044.5,0.9,2.11,0.9,2.75,"Hodell et al., 2001",C.wuellerstorfi
7046.62,0.9,2.05,0.9,2.69,"Hodell et al., 2001",C.wuellerstorfi
7048.75,0.88,2.02,0.88,2.66,"Hodell et al., 2001",C.wuellerstorfi
7053,0.56,1.94,0.56,2.58,"Hodell et al., 2001",C.wuellerstorfi
7055.06,0.6,2.03,0.6,2.67,"Hodell et al., 2001",C.wuellerstorfi
7057.12,0.76,2.19,0.76,2.83,"Hodell et al., 2001",C.wuellerstorfi
7059.18,0.71,2.27,0.71,2.91,"Hodell et al., 2001",C.wuellerstorfi
7063.3,0.46,2.38,0.46,3.02,"Hodell et al., 2001",C.wuellerstorfi
7065.36,1,2.09,1,2.73,"Hodell et al., 2001",C.wuellerstorfi
7067.42,0.87,2.18,0.87,2.82,"Hodell et al., 2001",C.wuellerstorfi
7069.48,0.74,1.98,0.74,2.62,"Hodell et al., 2001",C.wuellerstorfi
7071.55,0.91,1.43,0.91,2.07,"Hodell et al., 2001",C.wuellerstorfi
7073.61,1.06,2.24,1.06,2.88,"Hodell et al., 2001",C.wuellerstorfi
7075.67,0.97,2.11,0.97,2.75,"Hodell et al., 2001",C.wuellerstorfi
7077.73,1,2.32,1,2.96,"Hodell et al., 2001",C.wuellerstorfi
7079.79,1.14,2.3,1.14,2.94,"Hodell et al., 2001",C.wuellerstorfi
7081.85,1.11,2.23,1.11,2.87,"Hodell et al., 2001",C.wuellerstorfi
7083.91,0.96,2.15,0.96,2.79,"Hodell et al., 2001",C.wuellerstorfi
7085.97,0.91,2.22,0.91,2.86,"Hodell et al., 2001",C.wuellerstorfi
7087,1.18,2.28,1.18,2.92,"Hodell et al., 2001",C.wuellerstorfi
7088.03,1.13,2.14,1.13,2.78,"Hodell et al., 2001",C.wuellerstorfi
7090.09,1.03,1.96,1.03,2.6,"Hodell et al., 2001",C.wuellerstorfi
7091.12,0.98,2.33,0.98,2.97,"Hodell et al., 2001",C.wuellerstorfi
7092.15,0.97,2.3,0.97,2.94,"Hodell et al., 2001",C.wuellerstorfi
7093.18,1.01,2.27,1.01,2.91,"Hodell et al., 2001",C.wuellerstorfi
7094.21,1.26,2.43,1.26,3.07,"Hodell et al., 2001",C.wuellerstorfi
7095.24,0.73,2.16,0.73,2.8,"Hodell et al., 2001",C.wuellerstorfi
7096.27,1.05,2.15,1.05,2.79,"Hodell et al., 2001",C.wuellerstorfi
7097.3,1.15,2.24,1.15,2.88,"Hodell et al., 2001",C.wuellerstorfi
7098.33,1.16,2.24,1.16,2.88,"Hodell et al., 2001",C.wuellerstorfi
7099.36,1.04,2.13,1.04,2.77,"Hodell et al., 2001",C.wuellerstorfi
7100.39,1.15,2.16,1.15,2.8,"Hodell et al., 2001",C.wuellerstorfi
7101.42,1.08,2.25,1.08,2.89,"Hodell et al., 2001",C.wuellerstorfi
7102.45,1.25,2.2,1.25,2.84,"Hodell et al., 2001",C.wuellerstorfi
7103.48,0.97,2.23,0.97,2.87,"Hodell et al., 2001",C.wuellerstorfi
7104.52,1.28,2.17,1.28,2.81,"Hodell et al., 2001",C.wuellerstorfi
7105.55,1.15,2.1,1.15,2.74,"Hodell et al., 2001",C.wuellerstorfi
7106.58,1.2,2.18,1.2,2.82,"Hodell et al., 2001",C.wuellerstorfi
7107.61,1.04,2.13,1.04,2.77,"Hodell et al., 2001",C.wuellerstorfi
7109.67,1.2,2.1,1.2,2.74,"Hodell et al., 2001",C.wuellerstorfi
7110.7,0.83,2.04,0.83,2.68,"Hodell et al., 2001",C.wuellerstorfi
7111.73,1.14,2.14,1.14,2.78,"Hodell et al., 2001",C.wuellerstorfi
7112.76,1.03,2.03,1.03,2.67,"Hodell et al., 2001",C.wuellerstorfi
7113.79,1.16,1.99,1.16,2.63,"Hodell et al., 2001",C.wuellerstorfi
7114.82,1.11,2.06,1.11,2.7,"Hodell et al., 2001",C.wuellerstorfi
7115.85,1.08,1.99,1.08,2.63,"Hodell et al., 2001",C.wuellerstorfi
7116.88,1.14,1.96,1.14,2.6,"Hodell et al., 2001",C.wuellerstorfi
7117.91,1.06,2,1.06,2.64,"Hodell et al., 2001",C.wuellerstorfi
7122.03,0.99,2.01,0.99,2.65,"Hodell et al., 2001",C.wuellerstorfi
7123.06,0.94,2.06,0.94,2.7,"Hodell et al., 2001",C.wuellerstorfi
7124.09,1.06,2.11,1.06,2.75,"Hodell et al., 2001",C.wuellerstorfi
7125.12,1.09,2.09,1.09,2.73,"Hodell et al., 2001",C.wuellerstorfi
7126.15,0.97,2.1,0.97,2.74,"Hodell et al., 2001",C.wuellerstorfi
7127.18,0.87,1.94,0.87,2.58,"Hodell et al., 2001",C.wuellerstorfi
7128.21,1,1.97,1,2.61,"Hodell et al., 2001",C.wuellerstorfi
7129.24,1.05,2.04,1.05,2.68,"Hodell et al., 2001",C.wuellerstorfi
7130.27,1,1.96,1,2.6,"Hodell et al., 2001",C.wuellerstorfi
7131.3,0.99,2.11,0.99,2.75,"Hodell et al., 2001",C.wuellerstorfi
7132.33,0.97,2.08,0.97,2.72,"Hodell et al., 2001",C.wuellerstorfi
7133.36,0.93,2.17,0.93,2.81,"Hodell et al., 2001",C.wuellerstorfi
7134.39,0.99,2.22,0.99,2.86,"Hodell et al., 2001",C.wuellerstorfi
7135.42,0.86,2.21,0.86,2.85,"Hodell et al., 2001",C.wuellerstorfi
7136.45,0.84,2.29,0.84,2.93,"Hodell et al., 2001",C.wuellerstorfi
7137.48,0.81,2.23,0.81,2.87,"Hodell et al., 2001",C.wuellerstorfi
7138.51,0.91,2.29,0.91,2.93,"Hodell et al., 2001",C.wuellerstorfi
7139.55,0.8,2.27,0.8,2.91,"Hodell et al., 2001",C.wuellerstorfi
7140.58,0.8,2.14,0.8,2.78,"Hodell et al., 2001",C.wuellerstorfi
7141.61,1.01,2.23,1.01,2.87,"Hodell et al., 2001",C.wuellerstorfi
7142.64,0.95,2.22,0.95,2.86,"Hodell et al., 2001",C.wuellerstorfi
7143.67,1.16,2.19,1.16,2.83,"Hodell et al., 2001",C.wuellerstorfi
7144.7,1.02,2.07,1.02,2.71,"Hodell et al., 2001",C.wuellerstorfi
7145.73,1.08,2.05,1.08,2.69,"Hodell et al., 2001",C.wuellerstorfi
7146.76,1.21,2.13,1.21,2.77,"Hodell et al., 2001",C.wuellerstorfi
7148.82,1.01,2.11,1.01,2.75,"Hodell et al., 2001",C.wuellerstorfi
7150.88,1.16,1.99,1.16,2.63,"Hodell et al., 2001",C.wuellerstorfi
7152.94,1.01,1.99,1.01,2.63,"Hodell et al., 2001",C.wuellerstorfi
7155,1.23,1.89,1.23,2.53,"Hodell et al., 2001",C.wuellerstorfi
7157.33,1.18,1.86,1.18,2.5,"Hodell et al., 2001",C.wuellerstorfi
7159.66,1.28,1.92,1.28,2.56,"Hodell et al., 2001",C.wuellerstorfi
7161.98,0.82,1.85,0.82,2.49,"Hodell et al., 2001",C.wuellerstorfi
7164.31,1.13,1.91,1.13,2.55,"Hodell et al., 2001",C.wuellerstorfi
7166.64,0.95,1.96,0.95,2.6,"Hodell et al., 2001",C.wuellerstorfi
7168.97,1.02,1.98,1.02,2.62,"Hodell et al., 2001",C.wuellerstorfi
7171.3,1.02,2.07,1.02,2.71,"Hodell et al., 2001",C.wuellerstorfi
7173.63,0.99,1.95,0.99,2.59,"Hodell et al., 2001",C.wuellerstorfi
7175.95,0.88,2.14,0.88,2.78,"Hodell et al., 2001",C.wuellerstorfi
7180.61,0.93,2.15,0.93,2.79,"Hodell et al., 2001",C.wuellerstorfi
7182.94,0.89,2.12,0.89,2.76,"Hodell et al., 2001",C.wuellerstorfi
