Age [ka BP] (AgeD17MT (this study)),Foram bent δ13C [‰ PDB] (vs. VPDB),Foram bent δ18O [‰ PDB] (vs. VPDB),Foram bent δ13C [‰ PDB] (benthic d13C corrected to equ...),Foram bent δ18O [‰ PDB] (benthic d18O corrected to equ...),Reference,Species
5676.86,0.88,2.12,0.88,2.76,"Hodell et al., 2001",C.wuellerstorfi
5678.67,0.83,2.16,0.83,2.8,"Hodell et al., 2001",C.wuellerstorfi
5680.47,0.76,2.06,0.76,2.7,"Hodell et al., 2001",C.wuellerstorfi
5682.28,0.92,2.11,0.92,2.75,"Hodell et al., 2001",C.wuellerstorfi
5684.08,0.99,2.02,0.99,2.66,"Hodell et al., 2001",C.wuellerstorfi
5685.89,0.87,1.93,0.87,2.57,"Hodell et al., 2001",C.wuellerstorfi
5687.69,1.09,2.19,1.09,2.83,"Hodell et al., 2001",C.wuellerstorfi
5689.5,0.77,1.94,0.77,2.58,"Hodell et al., 2001",C.wuellerstorfi
5691.3,0.7,2.26,0.7,2.9,"Hodell et al., 2001",C.wuellerstorfi
5693.11,0.9,2.24,0.9,2.88,"Hodell et al., 2001",C.wuellerstorfi
5694.91,0.73,2.13,0.73,2.77,"Hodell et al., 2001",C.wuellerstorfi
5696.71,0.6,2.2,0.6,2.84,"Hodell et al., 2001",C.wuellerstorfi
5698.52,0.57,2.18,0.57,2.82,"Hodell et al., 2001",C.wuellerstorfi
5700.32,0.66,2.21,0.66,2.85,"Hodell et al., 2001",C.wuellerstorfi
5702.13,0.74,2.08,0.74,2.72,"Hodell et al., 2001",C.wuellerstorfi
5703.93,1,2.12,1,2.76,"Hodell et al., 2001",C.wuellerstorfi
5705.74,1.03,2.14,1.03,2.78,"Hodell et al., 2001",C.wuellerstorfi
5707.54,0.89,2.05,0.89,2.69,"Hodell et al., 2001",C.wuellerstorfi
5712.95,0.96,1.86,0.96,2.5,"Hodell et al., 2001",C.wuellerstorfi
5714.76,0.98,2.02,0.98,2.66,"Hodell et al., 2001",C.wuellerstorfi
