Age model opt [ka],Cibicidoides spp. d13C [per mil PDB]
22.849,1.202
22.853,1.109
22.861,0.999
22.866,0.852
22.869,0.841
22.874,0.962
22.878,1.134
22.886,1.15
22.89,1.3
22.894,1.38
22.899,1.37
22.903,1.14
22.903,1.15
22.908,1.006
22.912,1.219
22.92,1.254
22.924,1.387
22.928,1.327
22.931,1.413
22.935,1.443
22.939,1.51
22.947,1.354
22.951,1.445
22.955,1.438
22.959,1.439
22.963,1.49
22.967,1.469
22.97,1.385
22.973,1.389
22.978,1.3
22.982,1.21
22.985,1.327
22.989,1.241
22.993,1.272
22.999,1.536
23.003,1.55
23.006,1.442
23.01,1.446
23.013,1.265
23.017,1.203
23.02,1.228
23.024,1.286
23.027,1.21
23.031,1.354
23.034,1.661
23.038,1.321
23.042,1.326
23.045,1.29
23.052,1.294
23.056,1.251
23.06,1.295
23.063,1.273
23.067,1.053
23.071,0.963
23.075,1.068
23.079,1.011
23.083,1.248
23.087,1.308
23.092,1.099
23.096,1.213
23.1,1.244
23.104,1.315
23.113,1.238
23.117,0.927
23.121,1.035
23.125,1.094
23.155,1.047
23.158,0.994
23.161,0.925
23.168,0.974
23.171,1.206
23.174,1.217
23.178,1.154
23.181,1.044
23.189,1.117
23.193,1.048
23.197,1.138
23.201,1.081
23.205,1.075
23.209,1.103
23.213,1.013
23.217,0.841
23.226,0.774
23.23,0.617
23.234,0.59
23.237,0.545
23.241,0.531
23.248,0.802
23.252,0.939
23.255,0.774
23.259,0.822
23.263,0.649
23.268,0.725
23.271,0.65
23.275,0.671
23.282,0.528
23.285,0.602
23.288,0.771
23.292,0.952
23.295,0.748
23.301,0.914
23.304,0.665
23.308,0.593
23.317,0.688
23.321,0.851
23.333,0.691
23.335,0.472
23.339,0.724
23.343,0.665
23.346,0.62
23.354,0.611
23.358,0.87
23.363,0.815
23.369,0.779
23.373,0.752
23.379,0.741
23.384,0.938
23.389,0.864
23.397,0.974
23.404,1.245
23.408,1.252
23.412,1.14
23.422,1.121
23.428,1.025
23.434,1.084
23.438,1.009
23.442,0.992
23.447,1.112
23.451,1.158
23.464,1.121
23.496,1.111
23.512,1.021
23.526,0.988
23.54,1.091
23.554,1.035
23.568,1.267
23.574,1.251
23.578,1.318
23.581,1.218
23.583,1.188
23.586,1.047
23.588,1.038
23.59,1.015
23.598,1.004
23.601,0.819
23.603,0.718
23.608,0.728
23.61,0.918
23.613,1.143
23.615,1.146
23.618,1.222
23.626,1.189
23.629,0.885
23.633,0.941
23.637,0.929
23.641,0.87
23.644,0.947
23.648,0.78
23.652,1.042
23.659,0.943
23.662,0.871
23.665,0.791
23.669,0.741
23.672,0.611
23.678,0.837
23.681,0.824
23.685,0.973
23.688,0.939
23.691,0.929
23.697,0.731
23.702,0.541
23.707,0.495
23.717,0.349
23.721,0.605
23.725,0.534
23.729,0.633
23.732,0.818
23.74,0.584
23.744,0.422
23.748,0.385
23.752,0.482
23.755,0.433
23.759,0.574
23.764,0.594
23.769,0.467
23.779,0.481
23.784,0.543
23.788,0.481
23.791,0.493
23.794,0.378
23.802,0.737
23.813,0.489
23.819,0.581
23.825,0.51
23.83,0.611
23.836,0.616
23.84,0.563
23.848,0.771
23.852,0.848
23.856,0.739
23.859,0.729
23.863,0.878
23.87,0.669
23.873,0.682
23.879,0.776
23.884,0.669
23.89,0.719
23.896,0.921
23.9,0.807
23.903,0.836
23.909,0.631
23.912,0.865
23.915,0.835
23.918,0.903
23.921,0.918
23.931,0.781
23.935,0.886
23.94,0.636
23.945,0.715
23.95,0.833
23.954,0.652
23.958,0.803
23.963,0.778
23.972,0.94
23.978,0.715
23.98,0.735
23.982,0.83
23.986,0.785
23.988,0.597
23.99,0.864
23.992,0.772
23.994,0.675
23.998,0.537
