rmcd (2),Age (Ma) (manual) (3),d13Cvpdb,d18Ovpdb,
96.85,23.078,1.357,2.109,
96.95,23.085,1.551,2.216,
97.00,23.089,1.309,2.150,
97.02,23.091,1.390,1.930,
97.05,23.093,1.307,1.975,
97.10,23.097,1.534,2.105,
97.22,23.107,1.500,1.980,
97.30,23.113,1.498,1.713,
97.35,23.117,1.397,1.872,
97.40,23.121,1.379,1.783,
97.42,23.123,1.270,2.050,
97.45,23.125,1.427,1.983,
97.50,23.129,1.405,2.013,
97.55,23.133,0.976,1.764,
97.60,23.137,1.401,2.183,
97.65,23.141,1.375,1.715,
97.70,23.145,0.442,1.486,
97.82,23.155,1.100,1.580,
97.85,23.157,0.916,1.766,
97.90,23.161,1.086,1.507,
98.00,23.169,1.216,1.807,
98.02,23.171,1.140,1.770,
98.06,23.174,1.075,1.578,
98.15,23.181,1.455,1.808,
98.32,23.195,1.140,1.510,
98.52,23.211,0.900,1.800,
98.72,23.227,0.898,1.383,
99.12,23.257,0.860,1.610,
99.32,23.272,0.860,1.520,
99.47,23.283,0.870,1.590,
99.52,23.287,0.720,1.610,
99.67,23.299,0.820,1.510,
100.07,23.329,0.850,1.450,
100.27,23.345,0.780,1.460,
100.77,23.390,0.900,1.530,
100.97,23.408,1.040,1.360,
101.05,23.415,1.395,1.410,
101.37,23.444,0.990,1.370,
101.40,23.446,1.151,1.750,
101.50,23.455,1.219,1.351,
101.55,23.460,1.230,1.372,
101.57,23.462,0.990,1.290,
101.65,23.469,1.392,1.960,
101.77,23.480,1.170,1.680,
101.85,23.487,1.249,1.801,
101.90,23.491,1.446,1.383,
102.00,23.500,0.951,1.553,
102.10,23.509,1.215,1.673,
102.15,23.514,1.127,1.464,
102.20,23.518,1.198,1.923,
102.20,23.518,1.193,1.703,
102.22,23.520,1.170,1.730,
102.25,23.523,0.762,0.927,
102.27,23.525,1.210,1.630,
102.30,23.527,1.195,1.702,
102.35,23.532,1.351,1.556,
102.40,23.536,1.143,1.420,
102.42,23.538,1.230,1.630,
102.42,23.538,1.230,1.630,
102.45,23.541,1.488,1.672,
102.50,23.545,1.455,1.755,
102.55,23.550,1.152,1.569,
102.60,23.554,0.834,1.493,
102.63,23.557,1.200,1.410,
102.65,23.559,1.104,1.225,
102.67,23.561,0.990,1.540,
102.70,23.563,1.386,1.732,
102.75,23.568,1.167,1.576,
102.80,23.572,0.904,1.809,
102.82,23.574,0.750,1.590,
102.85,23.577,1.201,1.902,
102.87,23.579,0.950,1.720,
102.90,23.581,1.288,1.885,
102.95,23.586,0.918,1.470,
103.00,23.590,1.248,1.254,
103.02,23.592,1.260,1.680,
103.05,23.595,1.384,1.696,
103.07,23.597,1.110,1.430,
103.10,23.599,1.123,1.530,
103.20,23.608,1.346,1.683,
103.22,23.610,1.060,1.340,
103.25,23.613,1.171,1.846,
103.27,23.615,0.900,1.750,
103.30,23.617,1.156,1.670,
103.35,23.622,1.107,1.892,
103.40,23.626,0.939,2.145,
103.42,23.628,0.890,1.730,
103.45,23.631,0.958,1.600,
103.60,23.644,1.044,1.952,
103.65,23.649,1.135,1.826,
103.70,23.653,0.894,1.690,
103.72,23.655,1.056,1.377,
103.75,23.658,0.986,1.534,
103.77,23.660,1.085,1.332,
103.80,23.662,0.073,1.739,
103.85,23.667,0.780,1.543,
103.90,23.671,0.170,1.576,
103.92,23.673,0.790,1.560,
103.95,23.676,0.967,1.646,
103.97,23.678,1.237,1.728,
104.00,23.680,1.165,1.980,
104.05,23.685,0.990,1.206,
104.10,23.689,1.203,1.598,
104.12,23.691,0.780,1.490,
104.15,23.694,1.149,1.413,
104.17,23.696,0.566,1.152,
104.20,23.698,0.839,1.036,
104.25,23.703,0.829,1.377,
104.30,23.707,0.811,1.650,
104.32,23.709,0.874,1.929,
104.32,23.709,0.760,1.140,
104.35,23.712,0.725,1.160,
104.37,23.714,0.376,1.064,
104.37,23.714,0.962,1.286,
104.40,23.716,0.622,1.754,
104.43,23.719,0.625,1.190,
104.45,23.721,1.010,1.388,
104.48,23.723,0.490,1.115,
104.50,23.725,0.389,1.441,
104.52,23.727,0.610,1.460,
104.52,23.727,0.700,1.310,
104.53,23.728,0.450,1.717,
104.54,23.729,0.399,1.185,
104.56,23.731,0.530,1.168,
104.58,23.733,0.827,1.296,
104.58,23.733,0.519,1.197,
104.63,23.737,0.769,1.183,
104.63,23.737,0.883,1.621,
104.67,23.740,0.610,1.508,
104.68,23.742,0.686,1.154,
104.68,23.742,0.650,1.300,
104.73,23.746,0.424,1.048,
104.78,23.751,0.571,1.630,
104.83,23.755,0.594,1.697,
104.84,23.756,0.610,1.400,
104.88,23.760,0.548,1.096,
104.93,23.764,0.637,1.060,
104.98,23.769,0.479,1.384,
105.01,23.771,0.910,1.420,
105.03,23.773,1.023,1.488,
105.08,23.778,0.657,1.303,
105.13,23.782,0.779,1.237,
105.18,23.787,1.106,1.441,
105.23,23.791,0.764,1.156,
105.28,23.796,0.610,1.031,
105.30,23.798,0.700,1.430,
105.33,23.800,0.892,1.433,
105.38,23.805,0.912,1.527,
105.43,23.809,0.656,1.242,
105.46,23.812,0.960,1.410,
105.48,23.814,0.872,1.483,
105.53,23.818,0.891,1.326,
105.58,23.823,0.878,1.440,
105.63,23.827,1.010,1.415,
105.68,23.832,1.113,1.728,
105.73,23.836,0.922,1.240,
105.79,23.842,1.029,1.912,
105.80,23.843,0.980,1.470,
105.82,23.844,0.987,1.647,
105.87,23.849,0.715,1.532,
105.93,23.854,0.588,1.555,
105.98,23.859,0.918,1.423,
106.03,23.865,0.996,1.783,
106.05,23.867,0.730,1.410,
106.08,23.871,0.751,1.345,
106.13,23.876,0.705,1.148,
106.18,23.882,0.911,1.731,
106.23,23.888,0.829,1.649,
106.30,23.896,0.620,1.410,
106.33,23.899,0.762,1.452,
106.38,23.905,0.811,1.298,
106.43,23.911,0.527,1.175,
106.48,23.916,0.909,1.327,
106.50,23.919,0.760,1.420,
106.53,23.922,0.884,1.458,
106.58,23.928,0.524,1.401,
106.63,23.934,0.685,1.433,
106.68,23.939,0.530,1.390,
106.73,23.945,0.445,1.422,
106.78,23.951,0.930,1.365,
106.80,23.953,0.760,1.380,
106.83,23.957,0.987,1.626,
106.88,23.962,0.411,1.290,
106.93,23.968,0.357,1.204,
106.98,23.974,0.467,1.571,
107.01,23.977,0.480,1.510,
107.03,23.979,0.866,1.533,
107.08,23.985,0.685,1.389,
107.18,23.997,0.872,1.438,
107.20,23.999,0.540,1.100,
107.23,24.002,0.687,0.962,
107.28,24.008,0.681,1.584,
107.30,24.010,0.680,1.230,
107.33,24.014,0.735,1.395,
107.38,24.019,0.464,1.239,
107.43,24.025,0.503,1.412,
107.43,24.025,0.817,1.460,
107.48,24.031,0.399,1.694,
107.50,24.033,0.640,1.510,
107.53,24.037,0.960,1.628,
107.58,24.042,0.691,1.073,
107.63,24.048,0.436,1.416,
107.68,24.054,0.533,1.130,
107.73,24.059,0.316,1.263,
107.78,24.065,0.457,1.277,
107.78,24.065,0.767,1.436,
107.80,24.067,0.530,1.140,
107.83,24.071,0.539,1.237,
107.88,24.077,0.521,1.191,
107.93,24.082,0.297,1.224,
107.98,24.088,0.231,1.028,
107.99,24.089,0.512,1.384,
108.03,24.094,0.628,1.381,
108.08,24.099,0.470,1.354,
108.13,24.105,0.242,1.517,
108.18,24.111,0.878,1.431,
108.23,24.117,0.726,1.245,
108.28,24.122,0.517,1.159,
108.33,24.128,0.775,1.289,
108.38,24.134,0.579,1.133,
108.43,24.140,0.771,1.206,
108.48,24.145,0.775,1.140,
108.50,24.148,0.540,1.370,
108.53,24.151,0.640,1.084,
108.58,24.157,0.335,1.296,
108.63,24.162,0.573,1.609,
108.68,24.168,0.469,1.562,
108.73,24.174,0.746,1.337,
108.80,24.182,0.369,0.911,
108.82,24.184,0.590,1.410,
108.83,24.185,0.331,1.445,
108.88,24.191,0.685,1.191,
108.93,24.197,0.858,1.347,
108.98,24.202,0.828,1.333,
109.02,24.207,0.660,1.290,
109.03,24.208,0.581,1.129,
109.08,24.214,0.719,1.224,
109.13,24.220,0.507,1.220,
109.18,24.225,0.827,1.305,
109.19,24.226,1.000,1.460,
109.21,24.228,0.710,1.400,
109.23,24.231,0.570,1.400,
109.28,24.237,0.798,1.685,
109.33,24.242,0.852,1.411,
109.38,24.248,0.727,1.367,
109.39,24.250,0.830,1.400,
109.43,24.254,0.795,1.473,
109.48,24.260,0.924,1.528,
109.53,24.265,0.855,1.723,
109.58,24.271,0.704,1.519,
109.58,24.271,0.850,1.300,
109.63,24.277,0.768,1.256,
109.68,24.282,0.804,1.221,
109.73,24.288,0.819,1.476,
109.77,24.293,0.940,1.520,
109.78,24.294,0.776,1.551,
109.80,24.296,0.720,1.450,
109.83,24.300,1.026,1.806,
109.88,24.305,0.589,1.502,
109.93,24.311,0.997,1.411,
109.96,24.315,0.760,1.610,
109.98,24.317,0.948,1.557,
110.03,24.323,0.941,1.503,
110.13,24.334,0.878,1.603,
110.18,24.340,0.907,1.380,
110.23,24.345,0.547,1.820,
110.30,24.353,0.844,1.327,
110.33,24.357,0.726,1.711,
110.35,24.359,0.890,1.360,
110.38,24.363,0.839,1.385,
110.44,24.369,0.680,1.640,
110.48,24.374,0.899,1.578,
110.53,24.380,1.135,1.641,
110.58,24.385,0.478,1.505,
110.63,24.391,0.590,1.419,
110.68,24.395,0.576,0.974,
110.73,24.399,0.406,0.997,
110.80,24.404,0.779,1.422,
110.82,24.406,0.790,1.380,
110.83,24.407,0.559,1.280,
110.93,24.415,0.850,1.184,
110.98,24.419,0.957,1.227,
111.03,24.423,0.932,1.400,
111.08,24.427,0.796,1.374,
111.13,24.431,0.915,1.716,
111.18,24.435,0.889,1.630,
111.20,24.436,0.760,1.750,
111.23,24.439,0.692,1.573,
111.23,24.439,1.002,1.833,
111.27,24.443,0.966,1.769,
111.28,24.443,0.504,2.046,
111.29,24.444,0.760,1.750,
111.32,24.446,0.633,1.400,
111.33,24.447,0.766,1.960,
111.38,24.451,0.628,1.704,
111.39,24.452,0.864,1.406,
111.42,24.454,0.670,1.630,
111.43,24.455,0.652,1.495,
111.47,24.458,0.770,1.349,
111.48,24.459,0.805,1.469,
111.53,24.463,0.638,1.412,
111.54,24.464,0.601,1.385,
111.58,24.467,0.750,1.336,
111.62,24.470,0.789,1.530,
111.63,24.471,0.939,1.519,
111.68,24.475,0.678,1.682,
111.69,24.476,0.787,1.751,
111.73,24.479,0.567,1.257,
111.75,24.481,0.563,1.208,
111.80,24.485,0.514,1.309,
111.81,24.486,0.575,1.380,
111.82,24.487,0.480,1.380,
111.84,24.488,0.518,1.553,
111.85,24.489,0.634,1.488,
111.90,24.493,0.576,1.816,
111.90,24.493,0.455,1.254,
111.95,24.497,0.649,1.511,
111.95,24.497,0.872,1.563,
112.00,24.501,0.814,1.455,
112.01,24.502,0.671,1.569,
112.02,24.503,0.550,1.410,
112.05,24.505,0.642,1.317,
112.06,24.506,0.410,1.475,
112.10,24.509,0.453,1.117,
112.12,24.510,0.572,1.491,
112.15,24.513,0.583,1.129,
112.17,24.515,0.645,1.338,
112.20,24.517,0.601,1.383,
112.22,24.519,0.560,1.360,
112.23,24.519,0.546,1.165,
112.25,24.521,0.475,1.309,
112.28,24.524,0.822,1.630,
112.30,24.525,0.583,1.539,
112.34,24.528,0.224,1.367,
112.35,24.529,0.821,1.658,
112.39,24.533,0.506,1.951,
112.40,24.533,0.700,1.674,
112.45,24.537,0.764,1.389,
112.45,24.537,0.574,1.446,
112.50,24.541,0.825,1.534,
112.50,24.541,0.541,1.557,
112.55,24.545,0.644,1.279,
112.56,24.546,0.728,1.493,
112.60,24.549,0.623,1.531,
112.61,24.550,0.785,1.489,
112.65,24.553,0.595,1.457,
112.70,24.557,0.106,1.930,
112.75,24.561,0.731,1.408,
112.80,24.565,0.874,1.696,
112.82,24.567,0.634,1.547,
112.85,24.569,0.471,1.290,
112.90,24.573,0.700,1.573,
112.95,24.577,0.419,1.483,
113.00,24.581,0.546,1.304,
113.05,24.585,0.602,1.395,
113.10,24.589,0.413,1.052,
113.15,24.594,0.239,1.214,
113.20,24.597,0.640,1.207,
113.25,24.601,0.413,1.184,
113.30,24.605,0.595,1.139,
113.35,24.608,0.775,1.578,
113.40,24.612,0.522,1.177,
113.45,24.616,0.889,1.687,
113.50,24.619,0.678,1.623,
113.55,24.623,0.838,1.481,
113.60,24.627,0.915,1.518,
113.61,24.628,0.735,1.486,
113.65,24.630,0.669,1.378,
113.70,24.634,0.682,1.526,
113.75,24.638,0.723,1.314,
113.80,24.642,0.751,1.319,
113.85,24.645,0.896,1.602,
113.90,24.649,0.796,1.328,
113.95,24.653,0.671,1.329,
114.00,24.656,0.620,1.370,
114.05,24.660,0.581,1.251,
114.10,24.664,0.652,1.400,
114.12,24.665,0.448,1.524,
114.15,24.667,0.651,1.385,
114.20,24.671,0.520,1.453,
114.25,24.675,0.810,1.495,
114.30,24.679,0.657,1.398,
114.35,24.682,0.478,1.262,
114.40,24.686,0.809,1.289,
114.45,24.690,0.649,1.359,
114.50,24.693,0.692,1.463,
114.55,24.697,0.761,1.170,
114.60,24.701,0.609,1.574,
114.62,24.702,0.614,1.310,
114.65,24.704,0.612,1.554,
114.70,24.708,0.580,1.278,
114.75,24.712,0.632,1.428,
114.80,24.715,0.533,1.322,
114.85,24.719,0.748,1.408,
114.90,24.722,0.668,1.431,
114.95,24.725,0.690,1.374,
115.00,24.729,0.688,1.366,
115.05,24.732,0.681,1.591,
115.10,24.735,0.718,1.570,
115.15,24.739,0.669,1.461,
115.20,24.742,0.643,1.398,
115.25,24.746,0.726,1.494,
115.30,24.749,0.553,1.085,
115.35,24.752,0.547,1.514,
115.40,24.756,0.703,1.279,
115.45,24.759,0.657,1.161,
115.50,24.762,0.438,1.175,
115.55,24.766,0.436,1.248,
115.60,24.769,0.631,1.360,
115.65,24.772,0.642,1.468,
115.70,24.778,0.710,1.379,
115.75,24.783,0.480,1.358,
115.80,24.788,0.532,1.606,
115.85,24.793,0.407,1.565,
115.90,24.798,0.458,1.671,
115.95,24.803,0.816,1.750,
115.96,24.804,0.600,1.880,
116.00,24.809,0.788,1.502,
116.04,24.813,0.660,1.507,
116.05,24.814,0.643,1.579,
116.09,24.818,0.711,1.358,
116.14,24.823,0.759,1.368,
116.19,24.828,0.640,1.293,
116.24,24.833,0.423,1.472,
116.29,24.839,0.629,1.372,
116.34,24.844,0.642,1.525,
116.39,24.850,0.547,1.505,
116.44,24.855,0.550,1.536,
116.44,24.855,0.487,1.568,
116.49,24.860,0.602,1.432,
116.54,24.866,0.464,1.401,
116.59,24.871,0.506,1.322,
116.64,24.877,0.597,1.450,
116.69,24.882,0.545,1.261,
116.74,24.887,0.602,1.360,
116.79,24.893,0.537,1.286,
116.84,24.898,0.460,1.288,
116.89,24.904,0.441,1.415,
116.94,24.909,0.992,1.516,
116.99,24.914,0.420,1.355,
117.04,24.920,0.636,1.467,
117.09,24.925,0.268,1.226,
117.14,24.931,0.973,1.860,
117.19,24.934,0.820,1.529,
