depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
15.44,2390,0.87,3.74
15.465,2393,0.45,3.92
15.49,2395.9,0.97,3.7
15.515,2398.9,0.41,3.85
15.54,2401.8,-0.14,3.72
15.59,2407.8,0.92,3.74
15.615,2410.7,0.48,3.65
15.64,2413.7,0.64,3.61
15.665,2416.6,0.58,3.8
15.69,2419.6,0.62,3.71
15.715,2422.5,0.92,3.38
15.74,2425.5,0.84,3.81
15.815,2434.4,0.59,3.94
15.84,2438.4,0.53,4.08
15.865,2442.7,0.87,3.51
15.89,2447,0.36,3.71
15.915,2451.3,0.59,3.52
15.95,2457.3,0.82,3.38
15.975,2461.6,0.45,3.41
16,2466,0.74,3.45
16.025,2470.3,-0.07,3.83
16.05,2474.6,0.68,3.46
16.075,2478.9,0.64,3.61
16.1,2483.2,0.99,3.36
16.125,2487.5,0.36,4.12
16.15,2490.2,0.59,3.85
16.175,2492.9,0.58,3.56
16.2,2495.6,0.78,3.8
16.225,2498.3,0.18,3.9
16.25,2501,0.63,3.6
16.275,2503.7,0.2,3.8
16.3,2506.3,0.5,3.84
16.325,2509,0.31,3.57
16.35,2511.7,0.77,3.56
16.375,2514.4,0.46,3.91
16.4,2517.1,0.53,3.85
16.45,2522.5,0.27,4.45
16.475,2525.6,0.45,3.79
16.55,2534.9,0.47,3.62
16.575,2538,0.85,3.52
16.6,2541.1,0.81,3.35
16.625,2544.2,0.71,3.44
16.65,2547.3,0.7,3.57
16.675,2550.3,0.67,3.45
16.7,2553.4,0.67,3.46
16.725,2556.5,0.73,3.41
16.775,2562.7,0.8,3.56
16.8,2565.8,0.89,3.74
16.825,2568.9,0.79,3.34
16.85,2571.9,0.8,3.59
16.925,2581.1,0.73,3.45
16.95,2584.2,0.7,3.38
16.975,2587.2,0.75,3.29
17,2590.3,0.81,3.31
17.025,2593.3,0.74,3.46
17.05,2596.4,0.37,3.25
17.075,2599.4,0.62,3.28
17.1,2602.5,0.78,3.57
17.125,2605.9,0.71,3.45
17.15,2609.2,0.59,3.43
17.175,2612.6,0.76,3.25
17.2,2616,0.75,3.36
17.225,2619.4,0.63,3.57
17.275,2626.1,0.86,3.32
17.3,2629.5,0.72,3.26
17.325,2632.8,0.71,3.56
17.35,2636.2,0.6,3.66
17.375,2639.6,0.67,3.38
17.4,2643,0.63,3.77
17.425,2645.9,0.62,3.95
17.45,2648.3,0.64,3.7
17.475,2650.7,1.01,3.15
