Ma,U1146 bent d13C [per mil PDB] (Cibicidoides wuellerstorfi + ..,U1146 bent d18O [per mil PDB] (Cibicidoides wuellerstorfi + ..
5.464221236,-0.37,2.89
5.466581694,-0.38,2.83
5.468942152,-0.58,2.57
5.471302611,-0.34,2.63
5.473663069,-0.23,2.77
5.476023527,-0.18,2.89
5.478383986,-0.13,2.8
5.480744444,0.22,2.58
5.483104903,0.03,2.44
5.485465361,0.14,2.51
5.487825819,0.08,2.53
5.490186278,0.08,2.59
5.492546736,0.15,2.56
5.494907194,0.1,2.59
5.497267653,0.08,2.55
5.499628111,0.11,2.31
5.501988569,0.09,2.32
5.504349028,0.28,2.19
5.506709486,0.07,2.52
5.509069944,0.18,2.49
5.511430403,0.14,2.39
5.513790861,0.23,2.41
5.516151319,0.41,2.4
5.518511778,0.32,2.39
5.520872236,0.28,2.29
5.523232695,0.29,2.5
5.525593153,0.47,2.36
5.527953611,0.38,2.44
5.53031407,0.3,2.4
5.532674528,0.29,2.53
5.535034986,0.28,2.48
5.537395445,0.07,2.46
5.539755903,0.22,2.54
5.542116361,0.14,2.57
5.54447682,0.13,2.47
5.546837278,0.01,2.31
5.549197736,-0.01,2.58
5.551558195,-0.12,2.65
5.553918653,0.14,2.59
5.556279111,0.03,2.52
5.55863957,-0.01,2.67
5.561000028,0.06,2.62
5.563360486,0.05,2.39
5.565720945,0.19,2.43
5.568081403,-0.01,2.4
5.570441862,-0.12,2.37
5.57280232,-0.04,2.39
5.575162778,-0.02,2.38
5.577523237,-0.12,2.27
5.579883695,-0.11,2.48
5.582244153,-0.02,2.39
5.584604612,-0.1,2.4
5.58696507,-0.03,2.29
5.589325528,0,2.27
5.591685987,-0.06,2.36
5.594046445,-0.01,2.34
5.596406903,-0.25,2.37
5.598767362,-0.14,2.52
5.60112782,0.06,2.62
5.603488278,0.05,2.72
5.605848737,0.06,2.61
5.608209195,0.01,2.57
5.610569654,0.13,2.49
5.612930112,-0.11,2.5
5.61529057,-0.1,2.55
5.617651029,0.01,2.57
5.620011487,-0.01,2.46
5.622371945,-0.37,2.32
5.624732404,-0.06,2.37
5.627092862,0.08,2.56
5.631813779,-0.05,2.54
5.634174237,0.16,2.49
5.636534695,0.15,2.42
5.638895154,0.06,2.35
5.641255612,0.35,2.32
5.64361607,0.23,2.07
5.645976529,0.3,2.41
5.648336987,0.36,2.45
5.650697445,0.29,2.28
5.653057904,0.23,2.49
5.654946271,0.26,2.46
5.657306729,0.06,2.35
5.659667187,0.12,2.48
5.662027646,-0.25,2.62
5.664388104,-0.07,2.77
5.666748562,-0.05,2.76
5.669109021,-0.17,2.96
5.671469479,-0.14,3.1
5.688464779,-0.02,2.61
5.690825237,0.1,2.69
5.693185696,0.01,2.54
5.695546154,0.19,2.57
5.697906613,0.03,2.64
5.700267071,-0.04,2.48
5.702627529,0,2.55
5.704987988,0.06,2.55
5.707348446,0.05,2.61
5.709708904,-0.05,2.6
5.712069363,0.04,2.67
5.714429821,-0.05,2.55
5.716790279,-0.14,2.61
5.719150738,-0.18,2.48
5.721511196,-0.27,2.58
5.723871654,-0.31,2.5
5.726232113,-0.4,2.55
5.728592571,-0.5,2.73
5.730953029,-0.38,2.79
5.733313488,-0.43,2.85
5.735673946,-0.54,2.89
5.738034404,-0.35,2.77
5.740394863,-0.53,2.66
5.742755321,-0.34,2.64
5.74511578,-0.37,2.48
5.747476238,-0.08,2.64
5.749836696,-0.34,2.35
5.752197155,-0.37,2.39
5.754557613,-0.15,2.59
5.756918071,-0.12,2.55
5.75927853,-0.21,2.51
5.761638988,-0.22,2.68
5.763999446,-0.28,2.66
5.766359905,-0.35,2.56
5.768720363,-0.41,2.4
5.771080821,-0.32,2.46
5.77344128,-0.14,2.6
5.775801738,-0.17,2.43
5.778162196,-0.2,2.58
5.780522655,-0.17,2.5
5.782883113,-0.25,2.6
5.785243572,-0.37,2.45
5.78760403,-0.43,2.51
5.789964488,-0.46,2.66
5.792324947,-0.43,2.69
5.794685405,-0.47,2.62
5.797045863,-0.51,2.64
5.799406322,-0.33,2.7
5.80176678,-0.28,2.44
5.804127238,-0.23,2.58
5.806487697,-0.17,2.56
5.808848155,-0.19,2.53
5.811208613,-0.17,2.47
5.813569072,-0.15,2.44
5.81592953,-0.22,2.39
5.818289988,-0.07,2.48
5.820650447,0.03,2.55
5.823010905,-0.07,2.59
5.825371363,0.01,2.54
5.827731822,-0.03,2.4
5.83009228,-0.13,2.6
5.832452739,-0.11,2.55
5.834813197,-0.12,2.52
5.837173655,-0.14,2.4
5.839534114,-0.15,2.71
5.841894572,-0.11,2.56
5.84425503,-0.23,2.5
5.846615489,-0.05,2.46
5.848975947,-0.16,2.5
5.851336405,-0.27,2.62
5.853696864,-0.41,2.51
5.856057322,-0.29,2.73
5.85841778,-0.44,2.59
5.860778239,-0.34,2.77
5.863138697,-0.27,2.5
5.865499155,-0.32,2.55
5.867859614,-0.19,2.59
5.870220072,-0.23,2.59
5.872580531,-0.42,2.66
5.874940989,-0.42,2.44
5.877301447,-0.41,2.3
5.879661906,-0.36,2.48
5.882022364,-0.42,2.38
5.884382822,-0.5,2.56
5.886743281,-0.58,2.59
5.889103739,-0.74,2.61
5.891464197,-0.64,2.79
5.893824656,-0.59,2.62
5.900906031,-0.36,2.32
5.903266489,-0.36,2.5
5.905626947,-0.25,2.37
5.907987406,-0.2,2.4
5.910347864,-0.21,2.37
5.912708322,-0.17,2.37
5.915068781,-0.12,2.47
5.917429239,-0.09,2.4
5.919789698,-0.27,2.49
5.922150156,-0.08,2.48
5.924510614,-0.13,2.46
5.926871073,-0.03,2.57
5.929231531,-0.13,2.58
5.931591989,-0.11,2.45
5.933952448,-0.22,2.55
5.936312906,-0.18,2.41
5.938673364,-0.27,2.53
5.941033823,-0.15,2.66
5.943394281,-0.08,2.67
5.945754739,-0.19,2.71
5.948115198,-0.28,2.56
5.950475656,-0.13,2.74
5.952836114,-0.2,2.7
5.955196573,-0.17,2.42
5.957557031,-0.26,2.64
5.95991749,-0.02,2.75
5.962277948,-0.07,2.59
5.964638406,-0.07,2.43
5.966998865,-0.07,2.58
5.969359323,0.07,2.41
5.971719781,0.02,2.54
5.97408024,0.18,2.57
5.976440698,0.04,2.56
5.978801156,0.13,2.54
5.981161615,0.19,2.48
5.983522073,0.13,2.37
5.985882531,0.07,2.5
5.98824299,-0.22,2.52
5.990603448,-0.01,2.48
5.992963906,-0.16,2.36
5.995324365,-0.17,2.37
5.997684823,-0.23,2.62
6.000045282,-0.23,2.57
6.00240574,-0.36,2.65
6.004766198,-0.43,2.87
6.007126657,-0.32,2.79
6.009487115,-0.41,2.88
6.011847573,-0.42,2.86
6.014208032,-0.34,2.57
6.01656849,-0.3,2.58
6.018928948,0.09,2.52
6.021289407,0.1,2.57
6.023649865,-0.31,2.62
6.026010323,-0.23,2.57
6.028370782,-0.04,2.46
6.03073124,-0.22,2.37
6.033091698,-0.15,2.29
6.035452157,-0.18,2.4
6.037812615,-0.17,2.39
6.040173073,-0.21,2.48
6.042533532,-0.18,2.44
6.04489399,-0.26,2.49
6.047254449,0.1,2.56
6.049614907,-0.09,2.6
