Depth [mbsf],New_AgeModel,_13C [per mil PDB],_18O [per mil PDB],
337.34,9.279812679,1.03,1.78,
337.44,9.282794818,1.11,1.69,
337.54,9.285776956,1.18,1.66,
337.64,9.287765049,1.18,1.78,
337.74,9.290747188,1.15,1.69,
337.94,9.296711465,1.08,1.72,
338.04,9.299693604,1.03,1.84,
338.14,9.301681696,1.23,1.94,
338.24,9.304663835,1.16,1.83,
338.34,9.307645974,1.14,2,
338.44,9.310628113,1.16,2.05,
338.54,9.313610252,1.06,1.9,
338.64,9.315598344,1.01,1.97,
338.74,9.318580483,1.02,1.92,
338.84,9.321562622,1.09,2.07,
338.94,9.32454476,1.08,1.98,
339.04,9.326532853,1.31,2.25,
339.14,9.329514992,1.01,1.92,
339.24,9.33249713,1.15,2.1,
339.34,9.335479269,1.01,1.9,
339.44,9.338461408,1.01,1.86,
339.54,9.340449501,1.12,1.65,
339.64,9.343431639,1.11,2,
339.74,9.346413778,1.21,1.83,
339.84,9.349395917,1.17,1.76,
339.94,9.352378056,1.04,1.76,
340.04,9.354366148,1.06,1.84,
340.14,9.357348287,1.15,1.89,
340.24,9.360330426,0.95,1.74,
340.34,9.363312565,1.03,2.09,
340.44,9.366294703,0.87,2.06,
340.54,9.368282796,0.91,1.98,
340.64,9.371264935,0.73,2.31,
340.74,9.374247073,0.84,2.19,
340.84,9.377229212,0.87,1.95,
340.94,9.379217305,0.72,1.92,
341.04,9.382199443,1.22,2.05,
341.14,9.385181582,1.17,2.1,
341.24,9.388163721,1.23,2.1,
341.34,9.39114586,1.06,1.86,
341.44,9.393133952,1.2,1.77,
341.54,9.396116091,1.02,1.77,
341.64,9.39909823,1.2,1.71,
341.74,9.402080369,1.11,1.83,
341.84,9.405062507,1.01,1.83,
341.94,9.4070506,1.13,2.19,
342.04,9.410032739,1.14,1.86,
342.14,9.413014877,1.17,2.14,
342.24,9.415997016,0.91,1.65,
342.34,9.417985109,0.99,1.76,
342.44,9.420967248,0.94,1.93,
342.54,9.423949386,0.63,1.73,
342.64,9.426931525,0.95,2.1,
342.74,9.429913664,0.84,1.89,
342.84,9.431901756,0.88,2.17,
342.94,9.434883895,0.68,1.88,
343.04,9.437866034,1.09,2,
343.14,9.440848173,1.11,1.84,
343.24,9.443830311,1.11,1.91,
346.94,9.546217076,0.94,1.89,
347.04,9.548205169,1.04,1.85,
347.14,9.551187307,0.97,2,
347.24,9.554169446,0.97,1.98,
347.34,9.557151585,0.82,1.99,
347.44,9.560133724,0.9,1.91,
347.54,9.562121816,0.7,2.04,
347.64,9.565103955,1,2.02,
347.74,9.568086094,0.68,2.02,
347.84,9.571068233,0.83,1.93,
347.94,9.574050371,0.61,2.01,
348.04,9.576038464,0.95,1.99,
348.14,9.579020603,1.03,1.92,
348.34,9.58498488,1.14,1.96,
348.44,9.586972973,1.17,1.86,
348.54,9.589955112,1.06,2.07,
348.64,9.59293725,1.07,1.95,
348.74,9.595919389,1.23,1.82,
348.84,9.598901528,1.13,1.9,
348.94,9.60088962,1.13,1.85,
349.04,9.603871759,1.29,1.9,
349.14,9.606853898,1.35,1.88,
349.24,9.609836037,1.24,1.73,
349.34,9.612818176,1.03,1.78,
349.44,9.614806268,1.3,1.83,
349.54,9.617788407,1.28,1.86,
349.64,9.620770546,1.11,1.78,
349.74,9.623752684,1.08,1.88,
349.84,9.625740777,1.22,1.89,
349.94,9.628722916,1.21,1.88,
350.04,9.631705054,1.13,2.03,
350.14,9.634687193,0.82,2.15,
350.24,9.637669332,1.08,2.14,
350.34,9.639657425,0.93,2.05,
350.44,9.642639563,1.08,1.87,
350.54,9.645621702,1.18,2.11,
350.64,9.648603841,1.23,2.06,
350.74,9.65158598,1.11,1.89,
350.84,9.653574072,0.94,1.88,
350.94,9.656556211,1.19,1.64,
351.04,9.65953835,1.15,1.75,
351.14,9.662520489,1.23,1.76,
351.24,9.664508581,1.15,1.74,
351.34,9.66749072,1.4,1.88,
351.44,9.670472859,1.25,1.95,
351.54,9.673454997,1.39,2.08,
351.64,9.676437136,1.31,2.23,
351.74,9.678425229,1.22,1.65,
351.84,9.681407367,1.24,2.03,
351.94,9.684389506,1.2,1.65,
352.04,9.687371645,1.18,2.12,
352.14,9.690353784,1.1,1.77,
352.24,9.692341876,1.13,1.89,
352.34,9.695324015,1.23,2.03,
352.44,9.698306154,1.1,2.07,
352.54,9.701288293,1.23,1.97,
352.64,9.703276385,1.21,2.09,
352.74,9.706258524,1.2,1.82,
352.84,9.709240663,1.34,2.08,
352.94,9.712222801,1.37,1.87,
353.04,9.71520494,1.4,1.88,
353.14,9.717193033,1.33,1.7,
353.24,9.720175172,1.33,1.86,
353.34,9.72315731,1.6,1.91,
353.44,9.726139449,1.46,2.01,
353.54,9.729121588,1.3,2.04,
356.64,9.814609566,1.35,2.17,
356.74,9.817591705,1.56,1.9,
356.84,9.820573844,1.4,1.94,
356.94,9.822561936,1.44,1.78,
357.04,9.825544075,1.4,1.92,
357.14,9.828526214,1.37,1.6,
357.34,9.833496445,1.3,1.9,
357.44,9.836478584,1.38,2.16,
357.54,9.839460723,1.35,1.97,
357.64,9.842442861,1.36,2.08,
357.74,9.845425,1.21,1.84,
357.84,9.847413093,1.25,2.04,
357.94,9.850395231,1.24,1.94,
358.04,9.85337737,1.22,1.95,
358.14,9.856359509,1.51,2.18,
358.24,9.859341648,1.37,2.19,
358.34,9.86132974,1.28,1.99,
358.44,9.864311879,1.24,2.16,
358.54,9.867294018,1.26,2.04,
358.64,9.870276157,1.3,2.07,
358.75,9.873258295,1.3,2.06,
358.84,9.875246388,1.26,2.1,
358.95,9.878228527,1.44,2.19,
359.04,9.881210666,1.2,2.08,
359.14,9.884192804,1.33,2.18,
359.24,9.886180897,1.25,2.05,
359.34,9.889163036,1.42,1.97,
359.44,9.892145174,1.41,2.05,
359.54,9.895127313,1.32,1.94,
359.64,9.898109452,1.36,2.09,
359.74,9.900097544,1.4,1.9,
359.84,9.903079683,1.37,1.94,
359.94,9.906061822,1.37,1.89,
360.03,9.908049915,1.17,1.99,
360.14,9.9120261,1.35,1.99,
360.24,9.914014192,1.33,1.97,
360.45,9.91997847,1.21,1.76,
360.64,9.924948701,1.18,1.95,
360.84,9.930912978,1.14,2.03,
360.94,9.933895117,1.12,1.69,
361.04,9.936877256,1.27,1.95,
361.14,9.938865349,1.24,1.78,
361.24,9.941847487,1.29,2.01,
361.34,9.944829626,1.13,1.89,
361.44,9.947811765,1.23,1.96,
361.53,9.949799857,1.1,1.8,
361.64,9.952781996,1.12,1.78,
361.74,9.955764135,1.07,1.65,
361.84,9.958746274,1.27,1.96,
361.94,9.961728413,1.03,1.76,
362.04,9.963716505,1.06,1.94,
362.14,9.966698644,1.16,1.84,
362.24,9.969680783,1.2,1.96,
362.44,9.97564506,1.31,2.01,
362.64,9.980615291,1.25,1.75,
362.73,9.98359743,1.08,1.79,
362.84,9.986579569,1.16,1.9,
362.93,9.988567662,1.21,1.85,
363.02,9.9915498,1.34,2.08,
363.13,9.994531939,1.29,1.93,
363.22,9.996520032,1.31,1.9,
363.32,9.99950217,1.13,1.93,
363.42,10.00248431,0.91,1.92,
363.52,10.00546645,1.17,2.05,
363.64,10.00844859,1.33,2.17,
363.74,10.01143073,1,1.87,
363.84,10.01441286,1.23,1.97,
363.94,10.01640096,1.2,2.02,
364.04,10.0193831,1.29,1.84,
364.14,10.02236523,1.25,1.95,
364.21,10.02435333,1.41,1.84,
364.31,10.02733547,1.28,1.79,
366.24,10.08101396,1.11,1.75,
366.34,10.08300206,1.14,1.72,
366.44,10.08598419,1.26,1.85,
366.54,10.08896633,1.1,1.87,
366.64,10.09194847,1.29,2.02,
366.74,10.09393656,1.27,1.9,
366.84,10.0969187,1.09,1.93,
366.94,10.09990084,1.1,1.84,
367.04,10.10288298,1.19,2.09,
367.14,10.10586512,1.3,1.94,
367.26,10.10884726,1.28,2.04,
367.34,10.11083535,1.3,1.95,
367.44,10.11381749,1.41,1.72,
367.52,10.11580558,1.47,1.82,
367.74,10.12176986,1.48,1.94,
367.84,10.124752,1.48,1.83,
367.94,10.12773414,1.45,1.72,
368.04,10.13071628,1.58,1.82,
368.14,10.13270437,1.61,1.9,
368.24,10.13568651,1.36,1.81,
368.34,10.13866865,1.47,1.93,
368.44,10.14165079,1.51,2.23,
368.54,10.14463292,1.52,2,
368.64,10.14662102,1.5,1.97,
368.74,10.14960316,1.21,1.93,
368.84,10.15258529,1.34,1.88,
368.94,10.15556743,1.36,1.95,
369.04,10.15854957,1.24,1.95,
369.14,10.16053766,1.41,2.17,
369.24,10.1635198,1.43,2.13,
369.34,10.16650194,1.37,1.95,
369.44,10.16948408,1.28,1.94,
369.54,10.17147217,1.4,1.89,
369.64,10.17445431,1.46,1.98,
369.74,10.17743645,1.47,1.98,
369.94,10.18340073,1.56,2,
370.04,10.18538882,1.58,1.87,
370.14,10.18837096,1.33,2.04,
370.24,10.1913531,1.27,1.94,
370.34,10.19433524,1.3,1.86,
370.44,10.19731738,1.33,2.04,
370.54,10.19930547,1.37,1.78,
370.74,10.20526975,1.37,1.86,
370.84,10.20825188,1.31,1.78,
370.94,10.21023998,1.24,1.89,
371.04,10.21322212,1.17,1.78,
371.14,10.21620425,1.19,1.9,
371.34,10.22216853,1.2,2.09,
371.44,10.22415662,1.24,1.7,
371.54,10.22713876,1.2,2.03,
371.64,10.2301209,1.09,1.67,
371.74,10.23310304,1.24,1.86,
371.84,10.23608518,1.12,1.35,
371.94,10.23807327,1.18,1.71,
372.14,10.24403755,1.15,1.77,
372.34,10.25000183,1.1,1.83,
372.54,10.25497206,1.25,1.82,
372.74,10.26093634,1.24,1.68,
372.94,10.26590657,1.35,1.63,
373.04,10.26888871,1.26,1.65,
373.14,10.27187085,1.3,1.67,
373.34,10.27684108,1.36,1.79,
373.44,10.27982322,1.27,1.75,
373.54,10.28280535,1.26,2.05,
373.64,10.28578749,1.35,1.8,
373.74,10.28876963,1.14,1.84,
373.84,10.29075772,1.25,1.96,
373.94,10.29373986,1.24,1.93,
374.04,10.296722,1.34,1.92,
375.84,10.34642431,1.26,1.69,
375.94,10.34940645,1.31,1.76,
376.04,10.35238859,1.19,1.86,
376.14,10.35437668,1.25,1.77,
376.24,10.35735882,1.13,1.74,
376.34,10.36034096,1.29,1.62,
376.44,10.3633231,1.28,1.78,
376.54,10.36630524,1.29,1.51,
376.64,10.36829333,1.18,1.83,
376.74,10.37127547,1.19,1.59,
376.84,10.37425761,1.2,1.85,
376.94,10.37723975,1.23,1.81,
377.04,10.37922784,1.34,2.01,
377.14,10.38220998,1.12,2,
377.24,10.38519212,1.27,2.01,
377.34,10.38817426,1.24,2.06,
377.44,10.3911564,1.2,1.92,
377.54,10.39314449,1.31,2.06,
377.64,10.39612663,1.3,1.94,
377.74,10.39910877,1.29,1.97,
377.84,10.40209091,1.06,1.93,
377.94,10.40507304,1.28,1.97,
378.04,10.40706114,1.14,1.87,
378.14,10.41004328,1.31,2.09,
378.24,10.41302541,1.25,1.87,
378.44,10.41898969,1.15,1.83,
378.54,10.42097778,1.39,1.92,
378.64,10.42395992,1.35,1.75,
378.74,10.42694206,1.35,1.74,
378.84,10.4299242,1.2,1.75,
378.94,10.43191229,1.2,1.64,
379.04,10.43489443,1.27,1.69,
379.14,10.43787657,1.16,1.49,
379.24,10.44085871,1.22,1.68,
379.34,10.44384085,0.99,1.53,
379.44,10.44582894,0.97,1.82,
379.54,10.44881108,0.86,1.46,
379.64,10.45179322,1.06,1.98,
379.74,10.45477536,0.95,1.81,
379.84,10.4577575,0.91,1.98,
379.94,10.45974559,1.08,1.97,
380.04,10.46272773,1.09,1.93,
380.34,10.4706801,1.14,1.37,
380.44,10.47366224,0.93,1.63,
380.54,10.47664437,0.93,1.34,
380.64,10.47962651,1.26,1.53,
380.74,10.48260865,1.26,1.7,
380.84,10.48459674,1.25,1.66,
380.94,10.48757888,1.17,1.6,
381.04,10.49056102,1.25,1.68,
381.14,10.49354316,1.06,1.5,
381.24,10.4965253,1.39,1.77,
381.34,10.49851339,0.99,1.29,
381.44,10.50149553,1.46,1.53,
381.64,10.50745981,1.16,1.82,
381.84,10.51243004,1.44,2.08,
382.04,10.51839432,1.18,1.74,
382.24,10.52336455,1.16,1.77,
382.44,10.52932883,1.28,1.88,
382.64,10.5352931,1.04,1.44,
382.84,10.54026334,1.18,1.4,
385.54,10.6148168,1.33,1.83,
385.64,10.61779894,1.34,1.92,
385.74,10.62078108,1.32,1.78,
385.84,10.62376322,1.3,1.62,
385.94,10.62674536,1.44,1.83,
386.04,10.62873345,1.41,1.8,
386.14,10.63171559,1.36,1.77,
386.24,10.63469773,1.28,1.79,
386.34,10.63767987,1.37,1.86,
386.44,10.63966796,1.22,1.88,
386.54,10.6426501,1.16,1.8,
386.64,10.64563224,1.17,1.98,
386.74,10.64861438,1,1.67,
386.84,10.65159652,1.2,1.87,
386.94,10.65358461,1.08,1.59,
387.04,10.65656675,1.23,2.07,
387.14,10.65954889,0.9,1.48,
387.24,10.66253103,1.06,1.87,
387.34,10.66551316,1.15,1.86,
387.44,10.66750126,1.06,1.77,
387.54,10.6704834,1.09,1.66,
387.64,10.67346553,1.05,1.46,
387.74,10.67644767,1.2,1.6,
387.84,10.67843577,1.02,1.57,
387.94,10.6814179,0.88,1.36,
388.04,10.68440004,1.01,1.47,
388.14,10.68738218,1.14,1.74,
388.24,10.69036432,1.03,1.63,
388.34,10.69235241,1.01,1.67,
388.44,10.69533455,1.12,1.9,
388.54,10.69831669,1.05,1.67,
388.64,10.70129883,1.21,1.75,
388.74,10.70428097,1.07,1.67,
388.84,10.70626906,1.16,1.62,
388.94,10.7092512,1.01,1.71,
389.04,10.71223334,1.32,1.66,
389.14,10.71521548,1.35,1.55,
389.24,10.71720357,1.31,1.56,
389.34,10.72018571,1.19,1.61,
389.44,10.72316785,1.16,1.65,
389.54,10.72614999,1.22,1.75,
389.64,10.72913212,1.3,1.71,
389.74,10.73112022,1.19,1.91,
389.84,10.73410236,1.24,1.95,
390.04,10.74006663,1.2,1.92,
390.14,10.74304877,0.91,1.7,
390.24,10.74503686,1.04,1.82,
390.34,10.748019,1.17,1.79,
390.44,10.75100114,1,1.75,
390.54,10.75398328,1.36,1.89,
390.64,10.75597137,1.15,1.77,
390.74,10.75895351,1.33,1.64,
390.84,10.76193565,1.29,1.69,
390.94,10.76491779,1.49,1.76,
391.14,10.76988802,1.14,1.83,
391.24,10.77287016,1.42,1.67,
391.34,10.7758523,1.35,1.73,
391.44,10.77883444,1.24,1.71,
391.64,10.78380467,1.06,1.89,
391.74,10.78678681,1.07,2.15,
391.84,10.78976895,1.08,2.03,
391.94,10.79275109,1.18,1.98,
392.04,10.79573322,1.19,1.78,
392.14,10.79772132,1.23,1.6,
392.24,10.80070346,1.12,1.97,
392.34,10.80368559,1.03,1.39,
392.44,10.80666773,1.08,1.94,
395.14,10.8812212,1.47,1.78,
395.24,10.88420334,1.28,1.83,
395.34,10.88619143,1.5,1.76,
395.44,10.88917357,1.2,1.91,
395.54,10.89215571,1.39,1.87,
395.64,10.89513785,1.15,1.89,
395.74,10.89811999,1.37,1.89,
395.84,10.90010808,1.22,1.82,
395.94,10.90309022,1.24,1.96,
396.04,10.90607236,1.18,1.91,
396.14,10.9090545,1.3,2.11,
396.24,10.91203664,1.02,2.02,
396.34,10.91402473,1.17,2,
396.44,10.91700687,1.03,2.11,
396.64,10.92297115,1.16,1.83,
396.74,10.92495924,1.17,1.96,
396.84,10.92794138,0.97,1.77,
396.94,10.93092352,0.98,2.14,
397.04,10.93390565,1.08,1.63,
397.14,10.93688779,0.9,1.86,
397.24,10.93887589,0.88,1.47,
397.34,10.94185802,0.95,1.71,
397.44,10.94484016,0.96,1.58,
397.54,10.9478223,0.81,1.88,
397.64,10.95080444,1.05,1.88,
397.74,10.95378658,0.89,1.87,
397.84,10.95577467,0.81,1.77,
397.94,10.95875681,0.92,1.99,
398.04,10.96173895,0.83,1.89,
398.14,10.96472109,0.91,1.96,
398.24,10.96770323,1.24,1.75,
398.34,10.97068537,1.18,1.89,
398.44,10.97267346,1.17,1.59,
398.54,10.9756556,1.22,1.76,
398.64,10.97863774,1.19,1.64,
398.74,10.98161987,1.19,1.77,
398.84,10.98460201,1.36,1.64,
398.94,10.98758415,1.25,1.85,
399.04,10.98957224,1.17,1.5,
399.14,10.99255438,1.27,2.12,
399.24,10.99553652,1.18,1.66,
