Depth cr [rmcd] (mid Depth m adjusted to splic...),Age dated [ka] (D17_MT),Foram bent d13C [per mil PDB] (with respect to equilibrium),Foram bent d18O [per mil PDB] (with respect to equilibrium)
123.34,6479,0.08,3.23
123.41,6482,0.17,3.14
123.44,6484,0.07,3.24
123.5,6486,0.13,3.24
123.53,6487,0.06,3.35
123.56,6489,-0.07,3.29
123.59,6490,0.02,3.36
123.66,6493,-0.17,3.16
123.69,6494,-0.17,3.19
123.76,6497,0.03,3.38
123.79,6498,-0.15,3.16
123.86,6501,-0.46,3.18
123.89,6503,-0.18,3.68
124.07,6510,-0.16,3.26
124.1,6511,-0.26,3.36
124.15,6513,-0.1,3.31
124.19,6515,-0.23,3.16
124.26,6518,-0.07,3.27
124.29,6519,0.07,3.22
124.36,6522,-0.06,3.11
124.39,6523,0.09,3.02
124.46,6526,0.09,3.3
124.49,6528,0.01,3.23
124.56,6531,-0.1,3.29
124.59,6532,-0.1,3.33
124.67,6535,0.04,3.22
124.7,6536,-0.17,3.3
124.76,6539,-0.06,3.17
124.79,6540,-0.15,3.29
124.86,6543,-0.1,3.19
124.89,6544,-0.41,3.27
124.96,6547,-0.32,3.21
124.99,6549,-0.58,3.4
125.06,6552,-0.4,3.14
125.09,6553,-0.75,3.24
125.16,6556,-0.78,3.44
125.19,6557,-0.87,3.32
125.26,6560,-0.23,3.38
125.3,6562,-0.57,3.23
125.56,6572,-0.08,3.25
125.63,6575,-0.44,3.31
125.64,6576,-0.08,3.26
125.66,6577,-0.28,3.27
125.66,6577,-0.49,3.4
125.69,6578,-0.34,3.07
125.72,6579,-0.28,2.99
125.72,6579,-0.22,3.09
125.75,6580,-0.21,3.17
125.78,6582,-0.31,3.16
125.81,6583,0.1,3.26
125.87,6585,-0.32,3.06
125.89,6586,0.04,3.07
125.9,6587,-0.47,3.17
125.91,6587,-0.2,3.11
125.97,6590,-0.09,3.03
126,6591,-0.26,3.3
126.05,6593,-0.14,3.3
126.08,6594,-0.11,3.31
126.15,6597,-0.4,3.37
126.18,6598,-0.23,3.29
126.23,6601,-0.11,3.32
126.26,6602,-0.07,3.24
126.33,6605,-0.06,3.39
126.35,6606,-0.09,3.24
126.42,6609,-0.24,3.25
126.45,6610,-0.03,3.64
126.46,6610,-0.11,3.31
126.49,6611,-0.21,3.13
126.53,6613,-0.12,3.18
126.56,6614,-0.28,3.31
126.59,6616,-0.23,3.19
126.66,6619,0.01,3.35
126.69,6620,-0.34,3.27
126.76,6623,-0.04,3.3
126.79,6624,-0.21,3.32
126.86,6627,-0.2,3.29
126.89,6628,-0.14,3.35
126.96,6631,-0.16,3.29
126.99,6632,-0.3,3.07
127.06,6635,-0.68,3.43
127.09,6637,-0.17,3.28
127.16,6640,-0.15,3.34
127.19,6641,-0.23,3.19
127.26,6644,0.04,3.56
127.36,6648,-0.48,3.43
127.39,6649,-0.26,3.31
127.45,6652,-0.3,3.24
127.48,6653,-0.37,3.34
127.56,6656,-0.25,3.39
127.59,6658,-0.4,3.23
127.66,6660,-0.15,3.23
127.69,6662,-0.19,3.28
127.76,6665,-0.39,3.12
127.79,6666,-0.21,3.17
127.86,6669,-0.48,3.13
127.89,6670,-0.21,3.13
127.96,6673,-0.38,2.98
127.99,6674,-0.19,2.95
128.06,6677,-0.55,3.03
128.09,6678,-0.45,2.89
128.17,6681,-0.52,3.04
128.2,6682,-0.64,3.03
128.26,6684,-0.45,3.08
128.39,6689,-0.74,3.31
128.46,6691,-0.42,3.18
128.5,6693,-0.69,3.27
128.56,6695,-0.38,3.18
128.6,6696,-0.48,3.28
128.66,6699,-0.42,3.06
128.69,6700,-0.34,3.16
128.79,6703,-0.37,3.07
128.86,6706,-0.2,3.22
128.86,6706,-0.12,3.38
128.89,6707,-0.39,3.14
128.94,6709,-0.38,3.26
128.97,6710,-0.45,3.32
129,6711,-0.43,3.3
129.03,6712,-0.15,3.33
129.06,6713,-0.41,3.22
129.06,6713,-0.04,3.26
129.09,6714,-0.03,3.33
129.1,6714,-0.08,3.27
129.16,6716,-0.1,3.18
129.2,6718,-0.12,3.23
129.26,6720,-0.13,3.24
129.29,6721,-0.11,3.17
129.36,6724,-0.22,3.21
129.39,6725,-0.43,3.4
129.47,6728,-0.42,3.24
129.5,6729,-0.24,3.3
129.56,6731,-0.33,3.22
129.59,6732,-0.37,3.09
129.66,6734,-0.33,3.21
129.69,6735,-0.24,3.3
129.76,6738,-0.15,3.24
129.79,6739,-0.42,2.93
129.86,6742,0.01,3.32
129.89,6743,-0.09,3.19
129.96,6745,-0.11,3.18
129.99,6746,-0.23,3.19
130.06,6749,-0.19,3.19
130.09,6750,-0.11,3.04
130.16,6752,-0.22,3.16
130.19,6753,-0.21,3.05
130.26,6756,-0.22,3.2
130.29,6757,-0.16,3.15
130.36,6759,-0.2,3.07
130.39,6761,-0.31,3.14
130.39,6761,-0.31,3.14
130.45,6763,-0.28,3.17
130.45,6763,-0.28,3.17
130.47,6763,-0.17,3.27
130.47,6763,-0.17,3.27
130.5,6764,-0.31,3.24
130.56,6767,-0.36,3.2
130.59,6768,-0.32,3.22
130.66,6770,-0.29,3.14
130.69,6771,-0.25,3.23
130.76,6774,-0.4,3.13
130.79,6775,0.06,3.63
130.97,6781,-0.32,3.14
131,6782,-0.19,3.18
131.07,6785,-0.16,3.09
131.1,6786,-0.44,3.13
131.17,6788,-0.25,3.21
131.2,6790,-0.37,2.9
131.26,6792,-0.11,3.16
131.29,6792,-0.7,2.78
131.36,6794,-0.33,3.17
131.39,6795,0.03,3.2
131.46,6797,0.07,3.24
131.49,6798,0,3.36
131.6,6801,-0.31,3.25
131.67,6803,-0.25,3.32
131.7,6804,-0.24,3.22
131.78,6806,-0.1,3.24
131.81,6807,-0.14,3.23
131.88,6809,0.16,3.2
131.91,6810,-0.33,3.22
131.99,6812,-0.27,3.19
132.03,6813,0.06,3.31
132.09,6815,0.02,3.21
132.12,6816,-0.12,3.3
132.2,6818,-0.16,3.36
132.23,6819,-0.35,2.99
132.29,6821,0.16,3.42
132.38,6823,-0.34,3.24
132.4,6824,-0.04,3.25
132.46,6825,-0.14,3.24
132.48,6826,-0.06,3.11
132.54,6828,0.04,3.18
132.57,6828,-0.11,3.29
132.63,6830,0,3.17
132.65,6831,-0.02,3.19
132.71,6832,-0.27,3.05
132.74,6833,-0.05,3.11
132.79,6835,-0.25,3.35
132.82,6835,-0.03,2.94
132.89,6837,-0.38,3.12
132.93,6838,-0.13,3.19
133.02,6841,-0.13,3.19
133.06,6842,-0.34,3.18
133.15,6845,-0.45,3.14
133.19,6846,-0.64,3.2
133.28,6848,-0.52,3.29
133.31,6849,-0.55,3.27
133.38,6851,-0.14,3.26
133.41,6852,-0.22,3.3
133.47,6854,-0.4,3.32
133.49,6854,-0.45,3.38
133.52,6855,-0.33,3.26
133.55,6856,-0.44,3.37
133.59,6857,-0.13,3.39
133.61,6858,-0.5,3.21
133.64,6858,-0.13,3.28
133.67,6859,0.14,3.26
133.69,6860,-0.01,3.31
133.71,6860,-0.08,3.19
133.72,6861,-0.37,3.2
133.74,6861,0.05,3.18
133.74,6861,-0.13,3.27
133.81,6863,-0.22,3.16
133.84,6864,-0.09,3.07
133.91,6866,0.16,3.22
133.94,6867,0.04,3.15
134,6869,0.16,3.13
134.03,6869,0.08,3.04
134.11,6872,0.11,3.11
134.14,6872,0.06,3.14
134.21,6874,0.17,3.11
134.24,6875,-0.02,3.13
134.31,6877,0,3.14
134.34,6878,-0.22,3.07
134.41,6880,-0.3,3.17
134.44,6881,-0.11,3.16
134.51,6883,-0.21,3.25
134.54,6884,-0.39,2.89
134.61,6886,-0.4,3.21
134.64,6887,-0.17,3.19
134.71,6889,-0.15,3.22
134.74,6889,-0.17,3.24
134.81,6891,-0.31,3.23
134.84,6892,-0.17,3.26
134.9,6894,-0.19,3.16
134.94,6895,-0.03,3.15
135.01,6897,-0.22,3.2
135.04,6898,-0.17,3.03
135.09,6899,-0.3,3.18
135.11,6900,-0.26,3.22
135.16,6901,-0.36,3.39
135.19,6902,-0.22,3.26
135.25,6904,-0.18,3.04
135.29,6905,-0.54,3.06
135.35,6906,-0.39,3.09
135.39,6908,-0.39,3.21
135.45,6909,-0.13,3.14
135.48,6910,-0.28,3.18
135.56,6912,-0.17,3.21
135.59,6913,-0.18,3.1
135.66,6915,-0.26,3.21
135.69,6916,-0.19,3.19
135.76,6918,0.07,3.18
135.79,6919,-0.08,3.14
135.86,6921,0.08,3.15
135.89,6922,-0.04,3.26
135.96,6924,-0.13,3.19
135.99,6924,-0.25,3.21
136.06,6926,-0.2,3.16
136.09,6927,0,3.12
136.16,6929,-0.1,3.27
136.19,6930,-0.31,3.22
136.26,6932,-0.26,3.32
136.29,6933,-0.25,3.22
136.36,6935,-0.17,3.15
136.46,6938,-0.38,3.09
136.49,6939,-0.32,3.16
136.55,6940,-0.3,3
136.58,6941,-0.26,3.22
136.61,6942,-0.22,3.22
136.66,6943,-0.21,3.17
136.69,6944,-0.16,3.22
136.76,6946,-0.11,3.2
136.79,6947,-0.05,3.26
136.86,6949,-0.18,3.14
136.89,6950,-0.35,3.14
136.95,6951,0,3.26
136.98,6952,-0.14,3.16
137.06,6955,-0.17,3.09
137.09,6955,0.01,2.93
137.19,6958,0.02,3.13
137.26,6960,-0.34,2.7
137.29,6961,-0.15,2.9
137.36,6964,-0.31,2.73
137.39,6966,-0.04,2.8
137.46,6969,-0.22,2.95
137.49,6970,-0.23,3
137.56,6973,-0.27,2.96
137.66,6978,-0.18,2.95
137.69,6979,0.02,3.22
137.77,6983,-0.05,3.28
137.8,6984,0.14,3.28
137.86,6987,0.23,3.14
137.89,6988,0.15,3.14
137.96,6992,0.33,3.02
137.99,6993,0.33,3.02
138.06,6996,0.26,3.15
138.09,6998,0.14,2.98
138.14,7000,0.17,2.97
138.17,7001,-0.2,2.96
138.24,7004,0.16,3.03
138.27,7006,0.07,2.94
138.34,7009,0.12,3.05
138.37,7010,0.03,3.19
138.44,7014,-0.05,3.07
138.47,7015,-0.12,3.17
138.53,7018,-0.4,3.19
138.56,7019,-0.12,3.16
138.62,7022,0.14,3.17
138.65,7023,-0.16,3.13
138.71,7026,0.14,3.08
138.74,7027,0.03,2.79
138.81,7030,0.14,2.87
138.83,7031,0.11,2.73
138.9,7035,0.19,2.93
138.93,7036,0.04,3.15
139,7039,-0.08,3.03
139.03,7040,-0.43,2.98
139.1,7044,-0.21,3.07
139.13,7045,-0.14,3.01
139.19,7048,0.17,3.1
139.22,7049,-0.04,2.99
139.29,7052,-0.11,2.91
139.33,7054,0.03,3.05
139.41,7058,-0.15,3.02
139.44,7059,-0.06,3.23
139.52,7063,-0.25,3.23
139.56,7065,-0.37,3.27
139.63,7068,0.03,3.28
139.66,7069,0.13,3.06
139.73,7072,0.05,2.95
139.76,7074,0.2,2.94
139.83,7077,0.27,2.84
139.92,7080,0.25,3
139.95,7081,0.3,3.05
140.02,7084,0.28,2.83
140.11,7087,0.06,3.11
140.14,7088,0.13,2.94
140.21,7091,0.24,3.39
140.24,7092,0.32,3.28
140.31,7094,0.22,3.07
140.34,7095,0.2,3.29
140.4,7097,0.27,3.19
140.43,7099,0,3.19
140.5,7101,0.33,3.23
140.58,7104,0.37,3.19
140.65,7106,0.36,3.14
140.68,7108,0.39,3.03
140.73,7109,0.23,3.04
140.75,7110,0.31,3.09
140.8,7112,0.18,3.04
140.83,7113,0.31,3.05
140.92,7116,0.23,3.02
140.95,7117,0.21,3.14
141.04,7120,0.13,2.75
141.08,7122,0.08,2.91
141.16,7125,-0.09,2.92
141.2,7126,0.19,2.86
141.28,7129,0.15,2.97
141.32,7131,0.04,3.15
141.4,7133,0.01,3.23
141.44,7135,-0.15,3.18
141.52,7138,0.15,3.18
141.56,7139,0.21,3.2
141.65,7142,0.3,3.09
141.68,7143,0.36,3.09
141.77,7147,0.42,3.02
141.8,7148,0.49,2.92
141.89,7151,0.51,2.89
141.93,7152,0.47,2.81
142,7155,0.55,2.92
142.03,7156,0.39,2.92
142.1,7159,0.56,3.15
142.13,7160,0.33,3.06
142.2,7162,0.6,2.9
142.23,7163,0.44,2.93
142.3,7166,0.4,2.89
142.33,7167,0.33,2.71
142.4,7169,0.21,2.78
142.43,7170,0.17,2.81
142.5,7173,0.07,2.88
142.53,7174,-0.04,3.11
142.6,7176,0.03,3.09
142.63,7178,0.01,3.15
142.7,7180,0.14,3.25
142.73,7181,0.19,3.25
142.82,7184,0.22,3.15
142.85,7185,0.32,3.41
142.92,7188,0.2,3.25
142.95,7189,0.44,2.88
143.03,7192,0.56,3.03
143.06,7193,0.3,2.98
143.13,7196,0.46,3.05
143.17,7197,0.58,3.1
143.24,7200,0.19,3.06
143.28,7202,0.31,3.07
143.34,7204,0.41,3.09
143.37,7206,0.38,3.1
143.47,7210,0.29,3.16
143.54,7213,0.22,3.21
143.57,7214,0.22,3.21
143.63,7216,0.32,3.19
143.66,7217,0.39,3.25
143.73,7220,0.42,3.22
143.76,7222,0.44,3.31
143.83,7224,0.32,2.89
143.85,7225,0.23,3.15
143.91,7228,0.38,3.14
143.92,7228,0.22,2.96
143.94,7229,0.27,2.96
143.95,7229,0.37,3.06
143.97,7230,0.41,3.04
144,7231,0.34,3.01
144.03,7233,0.29,2.84
144.09,7235,0.33,2.96
144.16,7238,0.32,3.15
144.19,7239,0.19,2.96
144.22,7240,0.31,3.04
144.27,7242,0.16,3.04
144.3,7244,0.18,3.15
144.36,7246,0.32,3.15
144.39,7247,0.23,3.17
144.47,7250,0.18,3.25
144.5,7252,0.17,3.12
144.56,7254,0.18,3.26
144.66,7258,0.21,3.03
144.69,7259,0.22,3.21
144.75,7262,0.32,3.19
144.78,7263,0.11,2.94
144.86,7266,0.32,3.13
144.89,7268,0.42,3.21
144.96,7270,0.35,3.01
144.99,7272,0.39,3.22
145.06,7274,0.36,3.02
145.09,7276,0.48,3.01
145.16,7279,0.4,2.88
145.19,7280,0.48,2.93
145.27,7283,0.44,2.94
145.3,7284,0.38,2.95
145.36,7287,0.31,3.13
145.39,7288,0.32,2.99
145.46,7291,0.29,3.16
145.49,7292,0.41,3.23
145.56,7295,0.13,3.2
145.59,7296,0.23,3.21
145.66,7298,0.21,3.06
145.69,7300,0.36,3.27
145.76,7302,0.13,3.26
145.79,7304,-0.24,3.27
145.86,7306,0.29,3.12
145.89,7308,0.31,3.04
145.94,7310,0.44,3.07
145.99,7312,0.41,3.15
146.06,7314,0.49,3.05
146.09,7316,0.36,3.02
146.16,7318,0.44,2.87
146.19,7320,0.43,2.91
146.26,7322,0.48,2.9
