U1337_ISOBENt18_CCSF,U1337_ISOBENt18_AgeL2019,U1337_ISOBENt18_d13Cequi,U1337_ISOBENt18_d18Oequi
33.22,2.23288,-0.746,3.988
33.32,2.23676,-0.12,3.707
33.42,2.24285,-0.652,3.736
33.52,2.24992,-0.394,3.869
33.62,2.25697,-0.154,3.748
33.72,2.26798,-0.429,3.815
33.82,2.28158,-0.437,3.94
33.92,2.29137,-0.191,3.164
34.02,2.30102,-0.391,3.694
34.22,2.32033,-0.269,3.971
34.42,2.3348,-0.182,3.734
34.52,2.34961,-0.071,3.869
34.62,2.36001,-0.607,4.08
34.82,2.3799,0.055,3.716
34.92,2.38949,-0.143,3.844
35.02,2.39908,0.163,3.605
35.12,2.40737,-0.143,3.785
35.22,2.41476,-0.484,4.13
35.32,2.42212,-0.433,4.251
35.42,2.42709,-0.99,4.112
35.52,2.43135,-0.286,4.093
35.62,2.43561,-0.583,3.99
35.72,2.4428,-1.139,4.299
35.82,2.45554,0.072,3.688
35.92,2.47077,-0.375,4.001
36.02,2.48429,-0.409,3.824
36.12,2.49658,-0.292,3.942
36.24,2.51029,-0.079,3.805
36.32,2.51898,-0.562,3.797
36.42,2.52746,-0.794,4.155
36.52,2.532,-0.699,4.161
36.74,2.53613,-0.716,4.227
36.83,2.53782,-0.578,3.967
37.52,2.57522,-0.264,3.801
37.62,2.58288,-0.072,3.653
37.82,2.59557,-0.054,3.654
37.92,2.60096,-0.193,3.469
38.24,2.62016,-0.843,4.225
38.32,2.62505,-0.134,3.779
38.42,2.63115,-0.094,3.746
38.52,2.63754,-0.149,3.403
38.62,2.64414,-0.017,3.439
38.72,2.64976,-0.204,3.769
38.82,2.65398,-0.171,3.512
38.92,2.65823,-0.453,3.939
39.02,2.66406,-0.145,3.777
39.12,2.67134,-0.039,3.316
39.22,2.67861,-0.112,3.574
39.32,2.68589,0.055,3.389
39.42,2.69317,0.059,3.487
39.52,2.69901,-0.296,3.842
39.72,2.70821,-0.208,3.792
39.82,2.71144,-0.233,3.851
39.92,2.71467,-0.53,3.958
40.02,2.71791,-0.522,3.982
40.12,2.72114,-0.418,3.964
40.22,2.72506,-0.405,3.808
40.32,2.7305,-0.093,3.823
40.42,2.73593,-0.313,3.597
40.52,2.74136,-0.051,3.636
40.62,2.7468,-0.054,3.466
40.72,2.75223,0.156,3.327
40.82,2.75766,0.154,3.212
40.92,2.7631,0.116,3.314
41.02,2.76785,0.046,3.324
41.12,2.77196,0.152,3.358
41.22,2.7768,-0.124,3.548
41.32,2.78164,-0.096,3.502
41.42,2.78647,-0.673,3.402
41.52,2.79147,-0.265,3.747
41.62,2.7973,-0.151,3.868
41.72,2.8034,-0.299,3.88
41.82,2.80893,-0.166,3.805
42.02,2.81926,0.206,3.324
42.12,2.82634,-0.127,3.508
42.22,2.83545,0.103,3.49
42.32,2.84484,-0.007,3.409
42.52,2.86364,0.056,3.381
42.62,2.87304,0.176,3.413
42.72,2.88222,-0.222,3.571
42.82,2.88925,-0.073,3.557
43.02,2.9099,-0.892,3.554
43.12,2.91987,-0.602,3.596
43.22,2.92676,-0.138,3.477
43.62,2.95533,-0.117,3.303
43.92,2.97416,-0.146,3.423
44.02,2.98098,0.209,3.477
44.12,2.9878,-0.149,3.446
44.22,2.99467,-0.368,3.702
44.32,3.00081,-0.162,3.426
44.42,3.00532,-0.374,3.532
44.52,3.00971,-0.252,3.464
44.72,3.01983,-0.276,3.612
44.82,3.02494,-0.343,3.32
44.92,3.03004,-0.234,3.117
45.02,3.03512,-0.265,3.346
45.22,3.04528,-0.429,3.524
45.32,3.05196,-0.437,3.518
45.42,3.05767,-0.076,3.22
45.72,3.07337,0.104,3.251
46.12,3.09584,-0.01,3.418
46.22,3.10162,0.07,3.345
46.52,3.11766,-0.143,3.318
46.62,3.12299,-0.294,3.635
46.73,3.1287,-0.667,3.443
46.83,3.13373,-0.499,3.621
47.02,3.14266,-0.346,3.689
47.12,3.14701,-0.206,3.476
47.52,3.16445,-0.026,3.227
47.62,3.1688,-0.083,3.337
47.92,3.18571,0.268,3.22
48.02,3.19314,0.109,3.433
48.12,3.20056,0.368,3.186
48.23,3.20866,0.28,3.244
48.32,3.2144,0.252,3.078
48.42,3.22049,0.036,3.408
48.62,3.23299,-0.212,3.427
48.72,3.23928,0.173,3.24
48.82,3.24638,-0.019,3.166
48.92,3.25445,0.172,3.434
49.02,3.26251,-0.651,3.77
49.12,3.27057,-0.51,3.839
49.22,3.27723,-0.431,3.636
49.31,3.28045,-0.464,3.611
49.42,3.28401,-0.549,3.822
49.52,3.28723,-0.374,3.801
49.62,3.29045,-0.334,3.667
49.73,3.29414,-0.593,3.651
50.22,3.31215,-0.381,3.525
50.34,3.31649,-0.213,3.54
50.72,3.33362,-0.095,3.07
50.78,3.33634,-0.103,4.007
50.88,3.34087,-0.097,3.32
50.98,3.3454,-0.407,3.369
51.08,3.34994,-0.375,3.345
51.18,3.35438,-0.485,3.389
51.38,3.35916,-0.278,3.357
51.58,3.37174,0.018,3.306
51.68,3.37608,-0.099,3.159
51.77,3.37998,-0.365,3.658
51.84,3.3829,-0.535,3.48
51.92,3.38603,-0.38,3.488
52.02,3.38936,-0.324,3.286
52.12,3.39268,-0.285,3.291
52.22,3.39685,-0.108,3.209
52.34,3.40489,-0.038,3.341
52.42,3.41043,-0.248,3.206
52.52,3.41735,-0.129,3.193
52.62,3.42428,-0.332,2.936
52.72,3.4312,-0.269,3.069
52.84,3.43961,-0.146,3.035
52.92,3.44531,-0.066,3.05
53.02,3.45243,-0.039,2.536
53.22,3.46668,-0.436,3.296
53.34,3.47467,-0.208,3.23
53.42,3.47975,0.195,3.75
53.52,3.48775,0.234,3.217
53.62,3.49957,-0.138,3.146
53.72,3.51139,0.012,2.955
53.84,3.52249,0.001,3.239
53.92,3.52911,0.085,3.229
54.02,3.53738,0.029,3.193
54.12,3.54565,0.133,3.13
54.22,3.55594,-0.076,3.199
54.34,3.57059,-0.112,2.931
54.62,3.59312,-0.316,3.285
54.72,3.59749,-0.11,3.285
54.84,3.60274,-0.144,3.172
55.22,3.61934,0.1,3.122
55.92,3.64746,0.086,3.082
56.22,3.66255,-0.294,3.276
56.42,3.67261,-0.217,3.366
56.52,3.67681,-0.202,3.248
56.62,3.67979,-0.079,3.103
56.72,3.68278,-0.01,3.158
56.92,3.68913,0.229,3.009
57.02,3.69253,-0.255,3.088
57.12,3.69594,-0.31,3.461
57.22,3.69935,-0.32,3.327
57.52,3.70956,-0.513,3.54
57.72,3.71637,-0.477,3.314
57.82,3.71977,0.135,3.355
57.92,3.72318,0,3.093
58.02,3.72675,0.111,3.438
58.12,3.73034,0.251,3.04
58.22,3.73392,-0.136,3.222
58.32,3.73751,0.075,3.163
58.42,3.7411,-0.5,3.333
58.62,3.74829,-0.179,3.236
58.72,3.75188,-0.08,3.12
58.82,3.75547,-0.09,3.117
58.92,3.75906,-0.039,3.201
59.02,3.76265,-0.176,3.265
59.12,3.76749,-0.043,3.237
59.22,3.77246,-0.038,3.067
59.32,3.77744,-0.167,3.308
59.52,3.7874,-0.011,3.433
59.62,3.79237,-0.159,3.17
59.82,3.80233,0.02,3.122
60.22,3.82224,-0.019,3.16
60.32,3.82722,-0.009,3.116
60.52,3.83717,-0.155,3.009
60.62,3.84215,-0.216,3.125
60.72,3.84603,-0.266,3.009
60.82,3.84979,-0.442,3.09
60.92,3.85355,-0.193,3.026
61.12,3.86107,-0.411,2.798
61.52,3.87612,-0.181,3.152
61.62,3.87988,-0.246,2.989
61.72,3.88364,-0.532,3.365
61.92,3.89116,0.101,3.679
62.02,3.89492,0.265,4.277
62.12,3.89869,-0.579,3.012
62.22,3.90245,-1.141,3.645
62.42,3.90936,-0.432,3.219
62.52,3.91278,-0.407,3.209
