Age model opt [ka],Cibicidoides spp. d18O [per mil PDB]
21.978,1.177
21.982,1.275
21.986,1.327
21.99,1.2
21.994,1.085
21.997,0.868
22.002,0.921
22.006,0.98
22.01,1.065
22.013,1.147
22.017,1.146
22.02,1.154
22.023,1.113
22.027,1.314
22.03,1.198
22.033,1.259
22.036,1.075
22.039,1.338
22.042,1.17
22.045,1.289
22.047,1.23
22.051,1.279
22.053,1.3
22.056,1.213
22.059,1.213
22.062,1.076
22.065,0.858
22.068,1.095
22.07,1.245
22.093,0.9
22.096,0.723
22.099,0.886
22.102,0.94
22.106,0.92
22.11,1.03
22.113,1.02
22.118,0.816
22.122,0.896
22.126,0.97
22.13,1.44
22.134,1.38
22.137,1.33
22.141,1.23
22.145,1.46
22.148,1.59
22.152,1.49
22.154,1.26
22.159,1.42
22.162,1.45
22.166,1.41
22.168,1.47
22.173,1.53
22.176,1.52
22.18,1.51
22.183,1.38
22.187,1.423
22.19,1.45
22.194,1.44
22.197,1.4
22.201,1.13
22.204,1.09
22.208,1.16
22.211,1.17
22.215,1.3
22.218,1.31
22.221,1.47
22.225,1.43
22.228,1.57
22.231,1.54
22.234,1.43
22.237,1.45
22.241,1.45
22.248,1.29
22.251,1.37
22.255,1.508
22.258,1.353
22.261,1.606
22.265,1.591
22.268,1.398
22.272,1.493
22.275,1.362
22.278,1.447
22.282,1.067
22.285,1.246
22.288,1.309
22.291,1.336
22.294,1.341
22.298,1.384
22.301,1.446
22.304,1.465
22.307,1.48
22.31,1.597
22.313,1.508
22.316,1.373
22.318,1.172
22.322,1.191
22.328,1.147
22.331,1.343
22.334,1.29
22.337,1.345
22.34,1.412
22.343,1.523
22.346,1.5
22.35,1.292
22.354,1.165
22.358,0.787
22.362,1.068
22.366,1.01
22.37,0.987
22.374,0.864
22.378,0.956
22.382,0.976
22.386,1.185
22.39,0.886
22.394,1.266
22.398,1.095
22.402,0.965
22.406,1.067
22.41,1.268
22.414,1.195
22.418,1.116
22.418,1.131
22.422,1.288
22.426,1.413
22.43,0.887
22.43,1.419
22.433,1.384
22.437,1.323
22.441,1.386
22.445,1.237
22.449,1.28
22.452,1.387
22.456,1.378
22.46,1.367
22.464,1.483
22.468,1.639
22.471,1.446
22.474,1.12
22.477,1.21
22.48,1.326
22.483,1.239
22.485,1.067
22.488,0.989
22.492,0.911
22.494,0.775
22.497,1.238
22.5,1.149
22.503,1.226
22.508,1.048
22.511,1
22.515,1.148
22.518,0.999
22.523,0.981
22.528,1.074
22.533,1.401
22.538,1.669
22.543,1.554
22.547,1.335
22.552,1.54
22.556,1.641
22.56,1.62
22.563,1.584
22.567,1.446
22.571,1.28
22.575,1.376
22.577,1.353
22.579,1.395
22.581,1.406
22.583,1.447
22.585,1.422
22.587,1.283
22.589,1.342
22.591,1.422
22.593,1.304
22.597,1.299
22.601,1.142
22.605,1.059
22.611,1.137
22.613,1.238
22.618,1.299
22.621,1.308
22.625,1.308
22.629,1.18
22.633,1.222
22.636,1.043
22.64,1.099
22.645,1.069
22.648,1.022
22.652,1.223
22.656,1.292
22.66,1.281
22.664,1.341
22.668,1.21
22.672,1.213
22.677,1.045
22.681,0.977
22.685,1.097
22.689,1.085
22.693,1.106
22.697,1.215
22.701,1.266
22.705,1.509
22.709,1.564
22.713,1.388
22.717,1.464
22.721,1.211
22.725,1.179
22.729,1.257
22.733,1.231
22.737,1.245
22.741,1.304
22.745,1.395
22.749,1.244
22.788,1.167
22.792,1.162
22.8,1.126
22.804,1.212
22.808,1.239
22.811,1.168
22.815,1.171
22.818,1.265
22.825,1.372
22.829,1.325
22.832,1.447
22.836,1.459
22.84,1.28
22.845,1.209
22.849,1.214
22.853,1.06
22.861,1.192
22.866,1.074
22.869,0.906
22.874,1.059
22.878,0.706
22.886,0.85
22.89,1.02
22.894,1.17
22.899,1.3
22.903,1.18
22.903,1.206
22.908,1.211
22.912,1.368
22.92,1.518
22.924,1.481
22.928,1.358
22.931,1.43
22.935,1.393
22.939,1.513
22.947,1.476
22.951,1.597
22.955,1.359
22.959,1.393
22.963,1.334
22.967,1.296
22.97,1.278
22.973,1.232
22.978,1.428
22.982,1.394
22.985,1.58
22.989,1.712
22.993,1.726
22.999,1.565
23.003,1.563
23.006,1.661
23.01,1.71
23.013,1.716
23.017,1.62
23.02,1.792
23.024,1.833
23.027,1.86
23.031,1.974
23.034,1.141
23.038,1.598
23.042,1.612
23.045,1.603
23.052,1.719
23.056,1.642
23.06,1.683
23.063,1.857
23.067,1.923
23.071,1.602
23.075,1.643
23.079,1.712
23.083,1.804
23.087,1.663
23.092,1.583
23.096,1.587
23.1,1.653
23.104,1.683
23.113,1.419
23.117,1.358
23.121,1.303
23.125,1.211
23.155,1.157
23.158,1.147
23.161,1.241
23.168,1.006
23.171,1.119
23.174,1.103
23.178,1.532
23.181,1.464
23.189,1.516
23.193,1.439
23.197,1.38
23.201,1.279
23.205,1.214
23.209,1.157
23.213,1.127
23.217,1.077
23.226,1.198
23.23,1.264
23.234,1.388
23.237,1.154
23.241,0.913
23.248,0.979
23.252,0.939
23.255,0.852
23.259,0.914
23.263,0.85
23.268,1.054
23.271,1.092
23.275,1.141
23.282,1.021
23.285,0.978
23.288,1.002
23.292,1.027
23.295,0.917
23.301,1.185
23.304,1.15
23.308,1.122
23.317,1.141
23.321,1.148
23.333,0.849
23.335,0.895
23.339,0.978
23.343,1.164
23.346,0.946
23.354,0.657
23.358,0.887
23.363,0.918
23.369,0.704
23.373,0.674
23.379,0.818
23.384,1.116
23.389,1.08
23.397,1.092
23.404,0.917
23.408,0.967
23.412,0.803
23.422,1.118
23.428,1.142
23.434,1.036
23.438,1.101
23.442,0.826
23.447,0.869
23.451,0.744
23.464,0.927
23.496,0.949
23.512,1.005
23.526,0.957
23.54,1.012
23.554,1.001
23.568,0.86
23.574,0.915
23.578,0.966
23.581,0.948
23.583,1.074
23.586,1.233
23.588,1.196
23.59,1.219
23.598,1.135
23.601,1.056
23.603,1.088
23.608,1.217
23.61,1.17
23.613,0.972
23.615,0.875
23.618,0.888
23.626,1.113
23.629,1.172
23.633,1.17
23.637,1.296
23.641,1.097
23.644,1.052
23.648,1.023
23.652,0.996
23.659,0.859
23.662,0.885
23.665,0.931
23.669,1.142
23.672,1.189
23.678,1.124
23.681,0.838
23.685,0.89
23.688,0.913
23.691,0.875
23.697,0.831
23.702,0.763
23.707,0.882
23.717,1.077
23.721,0.944
23.725,0.882
23.729,0.766
23.732,0.695
23.74,0.848
23.744,0.849
23.748,0.853
23.752,0.926
23.755,0.866
23.759,0.718
23.764,0.532
23.769,0.448
23.779,0.849
23.784,0.917
23.788,0.87
23.791,0.848
23.794,0.928
23.802,0.946
23.813,0.724
23.819,0.796
23.825,0.941
23.83,1.187
23.836,1.092
23.84,1
23.848,0.932
23.852,0.973
23.856,0.943
23.859,0.847
23.863,0.932
23.87,1.033
23.873,0.914
23.879,0.714
23.884,0.655
23.89,0.677
23.896,0.858
23.9,0.964
23.903,0.91
23.909,0.945
23.912,0.906
23.915,0.971
23.918,0.992
23.921,0.915
23.931,0.826
23.935,0.854
23.94,1.016
23.945,0.986
23.95,1.048
23.954,1.008
23.958,0.942
23.963,0.936
23.972,0.82
23.978,1.021
23.98,1.139
23.982,1.059
23.986,0.958
23.988,0.99
23.99,0.943
23.992,0.885
23.994,0.754
23.998,0.884
24,0.944
24.002,0.939
24.004,0.897
24.006,0.732
24.008,0.674
24.01,0.792
24.013,0.522
24.021,0.791
24.025,0.918
24.029,1.161
24.033,1.041
24.037,0.97
24.044,0.893
24.047,0.916
24.05,0.862
24.054,0.801
24.057,0.798
24.061,0.995
24.065,1.016
24.068,1.049
24.075,0.939
24.078,0.797
24.081,0.705
24.084,0.801
24.088,0.839
24.101,0.793
24.106,0.74
24.112,0.925
24.121,0.77
24.125,0.761
24.129,0.814
24.137,0.995
24.141,0.995
24.145,0.964
24.15,0.911
24.154,0.921
24.163,0.916
24.167,0.904
24.171,0.922
24.176,0.99
24.18,0.989
24.187,0.979
24.189,1.018
24.194,0.563
24.196,0.809
24.199,0.825
24.2,0.856
24.203,0.723
24.208,0.878
24.21,0.867
24.212,0.857
24.215,0.944
24.217,0.755
24.221,0.996
24.224,0.954
24.227,0.957
24.234,0.937
24.237,0.974
24.24,1.05
24.243,1.054
24.246,0.945
24.252,0.958
24.287,0.981
24.29,0.885
24.293,1.115
24.296,0.968
24.299,0.935
24.301,0.928
24.304,1.029
24.307,0.994
24.31,0.855
24.313,0.888
24.316,1.014
24.319,0.981
24.322,0.913
24.325,0.928
24.327,0.824
24.33,0.618
24.333,0.76
24.336,0.745
24.339,0.88
24.342,0.726
24.345,0.821
24.349,0.811
24.352,0.866
24.355,0.917
24.359,0.878
24.362,0.865
24.365,0.903
24.369,1.023
24.374,1.022
24.379,1.147
24.384,1.21
24.389,1.287
24.394,1.077
24.399,1.018
24.404,1.074
24.409,1.085
24.413,0.891
24.418,0.982
24.423,0.922
24.428,0.899
24.433,1.017
24.438,1.068
24.443,0.994
24.448,0.848
24.453,1.165
24.457,0.897
24.463,0.974
24.468,0.946
24.478,1.159
24.483,1.018
24.488,1.289
24.493,0.941
24.496,1.076
24.5,1.07
24.503,1.097
24.507,1.083
24.511,1.16
24.518,1.241
24.522,1.21
24.529,0.88
24.532,1.103
24.537,1.112
24.542,0.993
24.547,0.852
24.557,0.714
24.598,1.178
24.603,1.325
24.607,1.344
24.609,1.243
24.612,1.172
24.614,0.846
24.617,1.08
24.619,1.089
24.622,1.241
24.624,1.25
24.627,1.2
24.629,1.126
24.632,1.139
24.634,0.907
24.637,1.269
24.639,1.16
24.643,1.07
24.652,1.169
24.652,1.066
24.657,1.086
24.657,0.984
24.661,1.099
24.666,1.182
24.67,1.218
24.675,1.234
24.684,1.15
24.687,1.1
24.693,1.167
24.696,1.157
24.699,1.185
24.702,1.33
24.705,1.275
24.708,1.28
24.711,1.311
24.714,1.257
24.717,1.067
24.721,1.157
24.725,1.054
24.729,1.022
24.734,1.221
24.738,0.89
24.742,1.264
24.747,1.206
24.751,1.198
24.755,1.387
24.76,1.53
24.764,1.246
24.768,1.115
24.772,1.181
24.777,1.179
24.781,1.258
24.785,1.278
24.789,1.341
24.793,1.364
24.798,1.353
24.802,1.338
24.806,1.273
24.81,1.275
24.814,1.215
24.822,1.143
24.825,0.95
24.829,0.964
24.833,0.972
24.836,1.09
24.84,1.02
24.845,1
24.85,0.976
24.856,0.797
24.861,1.07
24.867,1.009
24.873,1.023
24.877,1.044
24.879,1.06
24.882,1.363
24.884,1.266
24.887,1.223
24.89,1.121
24.893,1.141
24.896,1.131
24.898,1.23
24.901,1.2
24.904,1.353
24.907,1.41
24.91,1.486
24.913,1.325
24.915,1.362
24.918,1.231
24.921,1.06
24.924,1.115
24.927,0.84
24.929,0.934
24.939,0.906
24.949,1.066
24.959,1.1
24.963,1.134
24.967,1.326
24.971,0.992
24.975,1.14
24.979,1.077
24.983,1.043
24.986,1.011
24.99,1.12
24.997,1.099
25,1.166
25,0.997
25.005,1.073
25.005,0.965
25.009,1.104
25.037,1.025
25.041,1.118
25.045,1.211
25.049,1.121
25.053,1.1
25.057,1.04
25.06,1.131
25.063,1.147
25.066,1.271
25.069,1.262
25.072,1.444
