Depth adj rmcd [armcd],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
106.005,23139,1.08,1.95
106.045,23141,0.99,1.98
106.085,23143,1.02,1.7
106.125,23145,0.96,1.99
106.205,23149,1.15,1.84
106.245,23151,0.93,1.91
106.285,23153,0.95,1.88
106.325,23155,0.74,2.02
106.365,23157,0.85,1.62
106.445,23161,1,1.82
106.485,23163,0.96,1.65
106.525,23165,0.92,1.61
106.565,23167,1.03,1.59
106.605,23169,1.06,1.69
106.645,23171,1.02,1.75
106.725,23174,1.16,1.56
106.765,23176,1.14,1.53
106.805,23178,1.12,1.53
106.845,23180,1.07,1.72
106.885,23182,1.03,1.69
106.925,23184,0.46,1.64
107.125,23194,0.87,1.65
107.205,23198,1.1,1.67
107.245,23200,1.24,1.73
107.285,23202,1,1.74
107.365,23206,1.28,1.53
107.405,23208,0.69,1.33
107.445,23210,0.65,1.36
107.485,23211,1.09,1.55
107.565,23215,0.86,1.63
107.605,23217,1.46,1.16
107.845,23238,0.86,1.75
107.965,23250,0.78,1.61
108.005,23254,0.98,1.67
108.045,23257,0.71,1.46
108.085,23261,0.89,1.5
108.125,23265,0.81,1.58
108.165,23269,0.84,1.43
108.205,23273,0.7,1.27
108.245,23276,0.54,1.33
108.285,23280,0.83,1.29
108.325,23284,0.77,1.58
108.365,23288,0.4,1.35
108.405,23292,0.75,1.69
108.445,23295,0.58,1.68
108.485,23299,0.66,1.67
108.525,23303,0.68,1.33
108.565,23307,0.49,1.55
108.645,23314,0.61,1.44
108.685,23318,0.78,1.5
108.725,23322,0.64,1.4
108.765,23326,0.76,1.62
108.805,23329,0.76,1.39
108.845,23331,0.71,1.28
108.885,23333,0.45,1.47
108.965,23336,0.83,1.48
109.005,23338,0.79,1.58
109.045,23340,0.6,1.48
109.085,23342,0.72,1.57
109.125,23344,0.68,1.46
109.165,23346,0.56,1.4
109.205,23348,0.62,1.6
109.245,23350,0.79,1.47
109.285,23352,0.76,1.62
109.325,23354,0.8,1.49
109.365,23355,0.75,1.57
109.405,23357,0.77,1.52
109.445,23359,0.87,1.46
109.485,23361,0.86,1.74
109.525,23363,1.09,1.48
109.565,23365,0.87,1.44
109.605,23367,0.64,1.51
109.645,23369,0.67,1.57
109.805,23376,0.61,1.62
109.845,23378,0.76,1.75
109.865,23379,0.95,1.7
109.905,23381,0.7,1.52
109.945,23383,0.99,1.6
110.065,23389,0.74,1.46
110.105,23391,1.08,1.63
110.145,23393,0.81,1.45
110.185,23395,0.54,1.35
110.225,23397,0.68,1.32
110.265,23398,0.83,1.63
110.305,23400,0.65,1.38
110.345,23402,0.85,1.69
110.385,23404,0.76,1.58
110.425,23406,0.83,1.79
110.545,23412,0.81,1.7
110.585,23414,1.35,1.7
110.625,23416,0.92,1.62
110.745,23421,1.2,1.68
110.785,23423,1.14,1.64
110.825,23425,1.12,1.66
